순위,제목,가수,가사
11,아무노래,지코 (ZICO),"왜들 그리 다운돼있어
뭐가 문제야 say something
분위기가 겁나 싸해
요새는 이런 게 유행인가
왜들 그리 재미없어
아 그건 나도 마찬가지
Tell me what I got to do
급한 대로 블루투스 켜
아무 노래나 일단 틀어
아무거나 신나는 걸로
아무렇게나 춤춰
아무렇지 않아 보이게
아무 생각 하기 싫어
아무개로 살래 잠시
I’m sick and tired of my everyday
Keep it up 한 곡 더
아무 노래나 일단 틀어
아무렴 어때 It’s so boring
아무래도 refresh가 시급한 듯해
쌓여가 스트레스가
배꼽 빠질 만큼만
폭소하고 싶은 날이야
What up my dawgs 어디야 너희
올 때 병맥주랑
까까 몇 개 사 와 huh
클럽은 구미가 잘 안 당겨
우리 집 거실로 빨랑 모여
외부인은 요령껏 차단 시켜
밤새 수다 떨 시간도 모자라
누군 힘들어 죽겠고 누군 축제
괜히 싱숭생숭 I want my youth back
좀 전까지 왁자지껄
하다 한 명 두 명씩 자릴 떠
왜들 그리 다운돼있어
뭐가 문제야 say something
분위기가 겁나 싸해
요새는 이런 게 유행인가
왜들 그리 재미없어
아 그건 나도 마찬가지
Tell me what I got to do
급한 대로 블루투스 켜
아무 노래나 일단 틀어
아무거나 신나는 걸로
아무렇게나 춤춰
아무렇지 않아 보이게
아무 생각 하기 싫어
아무개로 살래 잠시
I’m sick and tired of my everyday
Keep it up 한 곡 더
떠나질 못할 바엔
창밖은 쳐다도 안 봐
회까닥해서 추태를 부려도
No worries at all
이미지 왜 챙겨
그래 봤자 우리끼린데
Ohh 늦기 전에 막판 스퍼트
20대가 얼마 안 남았어
편한 옷으로 갈아입어
You look nice get’em high
얼핏 보면 그냥 코미디
이렇게 무해한 파티 처음이지
만감이 교차하는 새벽 2시경
술잔과 감정이 소용돌이쳐
왜들 그리 다운돼있어
뭐가 문제야 say something
분위기가 겁나 싸해
요새는 이런 게 유행인가
왜들 그리 재미없어
아 그건 나도 마찬가지
Tell me what I got to do
급한 대로 블루투스 켜
아무 노래나 일단 틀어
아무거나 신나는 걸로
아무렇게나 춤춰
아무렇지 않아 보이게
아무 생각 하기 싫어
아무개로 살래 잠시
I’m sick and tired of my everyday
Keep it up 한 곡 더
아무 노래나 일단
아무 노래 아무 노래
아무 노래나 틀어봐
아무 노래 아무 노래
아무 노래나 틀어봐
아무 노래 아무 노래
아무 노래나 틀어봐
아무 노래 아무 노래
아무 노래나 KOZ"
12,눈누난나 (NUNU NANA),제시 (Jessi),"I’m trying to give u
something more
So come with me and fly away
away away away away
그래서 난 눈누난나
눈누누난나
Put’ em up in the air
누나 누나
Like this oh 나나나
누나 누나
에에에에이
나를 지금 원해
Gimme more Gimme more
Gimme more Gimme more
Baby baby yeah I want it
이리로 이리로 이리로 이리 온
유난 떨지 마 그만
원한다면 솔직해져 봐 too much
우 baby 와서 가져가
I could give u everything anything
Baby can u handle it
뭐라 하던 still don’t give a what
맘대로 계속 떠들어
they talk about me
뭐라노 뭐라카노 F U
그래서 난 눈누난나
눈누누난나
Put’ em up in the air
누나 누나
Like this oh 나나나
누나 누나
에에에에이
I’m still Jessi from the block
U know I got the keys to the lock
안 봐 남의 눈치 I just do me
날 보기 위해 들어 뒤꿈치
Wake up bless looking fresh
어딜 가든 flex got the S
on my chest
싸이 오빠 말했지 꼴리는 대로 해
no red lights 올림픽대로 aye
뭐라 하던 still don’t give a what
맘대로 계속 떠들어
they talk about me
뭐라노 뭐라카노 F U
그래서 난 눈누난나
눈누누난나
Put’ em up in the air
누나 누나
Like this oh 나나나
누나 누나
에에에에이
I’m trying to give u
something more
So come with me and fly away
away away away away
그래서 난 눈누난나
눈누누난나
Put’ em up in the air
누나 누나
Like this oh 나나나
누나 누나
에에에에이"
13,멜로디,ASH ISLAND,"어딘가 들어본 듯한 이 Melody
떠올라 작은 기억들이 My memories
날 담은 소파는 커 It’s too much
Too much
기억할수록 난 되어만 가 Loser Loser
어딘가 들어본 듯한 이 Melody
떠올라 작은 기억들이 My memories
날 담은 소파는 커 It’s too much
Too much
기억할수록 난 되어만 가 Loser Loser
I’m a Loser
난 처음 너의 바램이 되고 싶어
세상을 다 주겠다고 약속을 해
많은 눈들의 착각이
나에겐 혼란이 되어 너만 힘들게 했지
더 잃을 것도 없었는데
날 너와 비교했어 참 나는 못된
사람이 됐고 모든 내 말들은
널 위한 거였단 핑계가 돼
근데 이젠 혼자 살기에는
버거운 집과 혼자 앉아있긴
너무 커 소파
또 다 쓰지도 못하는 돈과 옷
널 데려다줄 만한 큰 차
뭐 다 가져버리고 나서 난
TV에 너와 함께 보던
영화 흘러나오다가
혼잣말 옆에 없잖아 너가
하루 종일 싸우고 안은 채
잠들어도 좋아
다 괜찮으니 와서 채워주라 이 소파
혼자는 이 공간이 너무 커 필요해 너가
필요해 너가
어딘가 들어본 듯한 이 Melody
떠올라 작은 기억들이 My memories
날 담은 소파는 커 It’s too much
Too much
기억할수록 난 되어만 가 Loser Loser
어딘가 들어본 듯한 이 Melody
떠올라 작은 기억들이 My memories
날 담은 소파는 커 It’s too much
Too much
기억할수록 난 되어만 가 Loser Loser
I’m a Loser
Oooh 영원할 것 같았던 약속들
손을 잡아주겠다던 너와 나 둘
앞이 안 보일 때 너가 돼준 내 눈
겨울에 함께 봤던 눈
불타올랐지 아무리 추워도 난
With you
불이 꺼져 재만 남아도 Lovin u
라고 말하던 때 그때 그 기억인 듯
아직두 너와 듣던 노래들의 가사들
뻔한듯했던 그 Melody
가 익숙하던 예전 그대로
고정돼있던 곡 뻔하던 그 제목
초라해 질까 봐 난 말을 못 했어
필요해 너가
어딘가 들어본 듯한 이 Melody
떠올라 작은 기억들이 My memories
날 담은 소파는 커 It’s too much
Too much
기억할수록 난 되어만 가 Loser Loser
어딘가 들어본 듯한 이 Melody
떠올라 작은 기억들이 My memories
날 담은 소파는 커 It’s too much
Too much
기억할수록 난 되어만 가 Loser Loser
I’m a Loser"
14,"Achoo (Feat. pH-1, HAON) (Prod. GroovyRoom)",미란이 (Mirani),"바뀔 시간이 됐어 We go up with party
벌어 Cash fame 이젠 이뤄 내 자리
My way 봐 허덕이다 하늘까지
얼어 붙은 삶을 바꿔
더이상 더이상 떨지 않지
I got the win
나를 더 믿어
하늘에 빌어
안보여 뒤
부셔 백미러 Imma hop out the beamer
사계절 Winter on my body
Achoo
Winter on my body
Achoo
난 더 보여줘야 돼 Ballin’
누비지 날 버린 이 거리를
빌어 먹을 내 처지
전부 다 해치워 버리고 All in
의심 없이 달려 왔지
같은 거리 동네 출신
이뤄낼 차례가 됐어 직진
떠 올라 난 매일이 나를 무시 하던
애들을 다 제끼고 I’m ready
Or die 목걸이
금방 걸구 온다 말했었잖아
쉬어 엄만 곧 내 노래가
들려올 테니까 걱정하지마
에이 에이 이제는 지켜만 봐
예예예 나는 될 수 밖에 없어
난 기억해 How we live
멈추지 않아 절대 될 때까지
Cuz 난 기억해 How we live
멈추지 않아 절대 될때까지
바뀔 시간이 됐어 We go up with party
벌어 Cash fame 이젠 이뤄 내 자리
My way 봐 허덕이다 하늘까지
얼어 붙은 삶을 바꿔
더이상 더이상 떨지 않지
I got the win
나를 더 믿어
하늘에 빌어
안보여 뒤
부셔 백미러
Imma hop out the beamer
사계절 Winter on my body
Achoo
Winter on my body
Achoo
난 계속
달렸어 Put on my city
기억도 못 할 만큼 많아 할 일이
I did it
I did it
앞길을 막으려는
너의 그 기분 I get it
I get it
내가 변했다는 네 말은
너 말고 안 믿어
소년의 말썽은 내가 참기로
I’m taking the H1GH road
기대도 안돼 네가 하는 반성
I got the win
Don’t forget the sweat the blood
Don’t forget the tears
잊혀지질 않아
우리 엄마의 눈물이
그래서 더 빨리
벌어 더 많이
Achoo
바뀔 시간이 됐어
We go up with party
벌어 Cash fame 이젠 이뤄 내 자리
My way 봐 허덕이다 하늘까지
얼어 붙은 삶을 바꿔
더이상 더이상 떨지 않지
I got the win
나를 더 믿어
하늘에 빌어
안보여 뒤
부셔 백미러
Imma hop out the beamer
사계절 Winter on my body
Achoo
Winter on my body
Achoo
이젠 모두 내게 맞춰 비위
기분이 안 좋은 게
용납이 안 되는 위치
빌려 쓴 미소는
나에게 질려버렸다는 듯이
이따금씩 이자를 묻지 I’mma pay 4 it
숫자 세 개 마다 붙어있는 쉼표
아디다스가 보낸 신발을 신고
밤마다 부스는 진동 이건 진통
울 엄마도 모르는 그대가 어떻게 이모
언제나 그랬듯이
Time to get the papers
아버지의 차는 독일로 국적이 바뀌고
어린이에게도 권장되는 Rapper
Mr Right direction
더는 아닐 수도
돈이 아니었지 내 목표
본의 아니게 보폭을 넓혀
종환이는 Morpheus
Neo가 아닌 CEO가 될지도
Tape RED Tape BLUE
So what you gon do
Do it do it
무위도식
뻥이야 쟤네 벌이
2020 Did me dirty
기원 COVID-19의 종식
Yessirski 높은 출신
우디 우기 그루비
치원이형이 내 Broski
We miss 민식
DJ SMMT
TRADE L Naughty
Golden $hway
바뀔 시간이 됐어
We go up with party
벌어 Cash fame 이젠 이뤄 내 자리
My way 봐 허덕이다 하늘까지
얼어 붙은 삶을 바꿔
더이상 더이상 떨지 않지
I got the win
나를 더 믿어
하늘에 빌어
안보여 뒤
부셔 백미러
Imma hop out the beamer
사계절 Winter on my body
Achoo
Winter on my body
Achoo"
15,Freak (Prod. Slom),"릴보이 (lIlBOI), 원슈타인, Chillin Homie, 스카이민혁 (Skyminhyuk)","해가 떨어진 다음에
난 집 밖에 나왔지
반대로 살아가는 하루
아침이 밝아 오면 되려 눈이 빨개져
모두가 집으로 들어 가는데도
난 이제야 내려
이상하게 쳐다보지 예상한 대로
텅 빈 거리 Neon signs yeah
불빛이 don't kill my vibe yeah
여기 남아있지 나 혼자
but I'm on fire
언제부턴가 말수가 적어졌네
아주 오랜만에 연락 온 친구가
날 만나기 부담스럽대
Cuz I'm on tv lookin' busy
난 그대로인데
내가 보는 것이
너에게는 다른듯해
but I'm alright
혼자로 남아도
Got to fight the feelings
허나 너도 알다시피
나에겐 너무 익숙한 단어지
Guess I'm a freak
늘 혼자 있지
어딘가 고장 난 걸까
and I'm a freak
난 춤을 추지
모두가 잠에 든 시간
윙가르디움 레비오우사
우리 할아버지 내게 다가와
요즘은 트로트를 해야
빨리 성공할 수가 있다고
너의 주문 같은 노래
그만두고 무언갈 배워
누가 알았겠어
그 뒤에 만든 나의 노래로
할아버진 눈물을
참을 수 없게 되는 주문에 걸려
날 인정해 여기까지가 약 5년
인생은 시트콤 가까이에서 희극
어느샌가 주변 어르신 머리는 희끗
But 어제도 말했듯이
노인이 되어서도 Pay me
패기는 이렇게 저렇게 레일리
아직도 어린애처럼 만화 얘기를 해
언제 가는 마법이
이루어진다고 믿을래
원슈타인 이 정도면
이제 거의 Middle name
촌스럽지만 미룬다는 말을 미룰래
Guess I'm a freak
늘 혼자 있지
어딘가 고장 난 걸까
and I'm a freak
난 춤을 추지
모두가 잠에 든 시간
I'll be loyal
비록 난 상처를 받았지만
내겐 이 세상이 진짜란 걸 알아
When darkness comes
we chill with homies
It's gonna be alright
My life ain't easy
I've been through
이제 좀 익숙해진 듯 but 아직도
두렵기만 한 이 도시의 불빛들
사이 나를 비추는 Camera의 불빛들
차가운 눈빛들이 버거운 스물둘
내겐 센 척이 필수
나 질 순 없기에 버틸 뿐
나도 쉬었다
가보고 싶다고 Mom I miss you
달갑지만은 않은 사실뿐인 건
이미 알고 있었지
다 그런 거지 다 괜찮아 엄마
큰 아들이 멈출 리 없지
라 말해 I ain't trippin'
swear to god I ain't trippin'
그리 높지 않아도 여기까지 잘 왔지
My life's like a movie 내가 그린
엔딩엔 절대 실패란 없지
친구들 셋이서 방 하나 구해
안될 거 알면서 취했나 꿈에
뭐 어때 어린데 취하고 토해
친구야 해보자 까짓것 Okay
그렇게 앞 치말 매
출근해 고깃집
혼났지 많이 난 왜
이리 또 서툰지
손님인 아줌마의
말이 날 울렸지 wait
공부를 못하면 저렇게 산다고
저런 애 부모는 안 봐도 안다고
난 이를 꽉 물고 꼭 두고 보라고
이민혁 꿈 이뤄 서 돌아온다고
말했지 난 안 보였던 앞
밝혀준 Warmman과 Grandline
그 사랑 난 갚아줄 거니까
내가 외칠 말은 Show Me The Money야"
16,뿌리 (Feat. JUSTHIS) (Prod. GroovyRoom),Khundi Panda,"뿌리부터 불이 붙어
우린 뿌리 그 뿌리 깊숙이
뿌리까지 뿌리
뿌리부터 불이 붙어
우린 뿌리 그 뿌리 깊숙이
뿌리까지 뿌리
뿌리부터 불이 붙어
우린 뿌리 그 뿌리 깊숙이
뿌리까지 뿌리
뿌리부터 불이 붙어
타오를게 우리부터
whoa 닥치면 중간 거긴 너 꺼지 whoa
난 최고 되려 왔어 니 처음처럼 whoa
난 아직도 만족 못했어
아직 배고파하니
너의 왕관을 넘겨 whoa
명반 내래서 냈던 정규 whoa
랩부터 잘하래서 보여주고
증명했더니 이젠 벌고
오래 돈부터 whoa
그래서 만들어낸 소문은
범지구적으로 퍼져
그 평점들 전부 다 따내고 평정
내 멘탈은 콘솔 잡고 난 control
흔들림 없어 너가 볼 때는
그게 너무 뻔뻔해
시작하고 나면 말이 달라지지
나를 무시하다
사과한 너보다 빨라 일이
비결 묻지 말고
그냥 쳐다봐라 티비를
다들 소극적인 태도
they don't ever try to get it
try to get it
say wassup
새로 태어났고 보란 듯이
앞에 케익 썰어
내 플레이는 쩔어
그건 사람 아냐 WAYNE처럼
너 연기하고 내 건 울려 delay처럼
논의하든 의심하든
내 실력에 회의는 없어
Take-over JAYHOVA
헤이터로 내 머릿속 방세를 내던
걔네 계획은 messed
그렇게 만들어버린 게
바로 내 실력 uh
this time no part-time love
난 그냥 날 사랑하는 만큼
핫한 걸로 가사 써
사랑이 사라지면 차라리 난 관 둬
앞까지 다 왔어 잘 봐 넌
내 야망 누려보게
지금 당당히 서있지
내가 본 내 미래를 내어
나의 최선이 보이니
내 야망 누려보게
지금 당당히 서있지
내가 본 내 미래를 내어
나의 최선이 보이니
뿌리부터 불이 붙어
우린 뿌리 그 뿌리 깊숙이
뿌리까지 뿌리
뿌리부터 불이 붙어
우린 뿌리 그 뿌리 깊숙이
뿌리까지 뿌리
뿌리부터 불이 붙어
우린 뿌리 그 뿌리 깊숙이
뿌리까지 뿌리
뿌리부터 불이 붙어
타오를게 우리부터
뿌리부터 불이 붙어
우린 뿌리 그 뿌리 깊숙이
뿌리까지 뿌리
뿌리부터 불이 붙어
우린 뿌리 그 뿌리 깊숙이
뿌리까지 뿌리
뿌리부터 불이 붙어
우린 뿌리 그 뿌리 깊숙이
뿌리까지 뿌리
뿌리부터 불이 붙어
타오를게 우리부터
whoa 닥치면 중간 거긴 너 꺼지 whoa
난 최고 한 번 찍고
다시 처음처럼 whoa
난 충분히 많이 쳐먹었는데도
아직 배고파 왕관 못 넘겨 whoa
명반 내래서 냈던 정규 whoa
랩부터 잘하래서 보여주고
증명했더니 이젠 벌고
오래 돈부터 whoa
그래서 나왔다 쇼미에
JUSTHIS 팬 요즘 잼민이라 놀리네
근데 그런 말 하는 너넨
그 나이 처먹고
나한텐 1원도 쓰기 싫어 보이던데
코흘리개보다 돈도 안되는 노친네들
악플이 똥이고 내게 더 칠해
너희한텐 내가 벽이기에
내 신격화 눈꼴 시린데
내가 기만을 했니
그것도 다 내 실력인데
저열한 이곳 처음엔
랩만 잘하라 더니
이젠 귀에도 눈깔들이 달려있대
잘 생겨야 들린대 꾸미래서 꾸몄더니
힙합 아니고 아이돌이냬 whoa
근데 나보고 없다고 논리
그래서 fact 들고 오면
왜 이렇게 부정적이냬
희망적인 말함 척이래 거짓이래
물리고 물리는 말
꼬리의 꼬리의 꼴이 우웩
토가 쏠리네
말 한 번 잘못하면 다음 날
사형대에 목이 있네
꿈만 꿨다 하면 악몽이네
모든 걸 바칠 만큼 사랑했던 힙합
이제 소음이네
돈이네 결국 남은 것은 돈이네
근데 또 이런 track 쿤디 같은 애랑
만들고 있을 땐
뿌리부터 불이 붙어
뿌리 그 뿌리 깊숙이
뿌리까지 뿌리이기에
whoa 닥치면 중간 거긴 너 꺼지 whoa
난 최고 되려 왔어 니 처음처럼 whoa
난 아직도 만족 못했어
아직 배고파하니
너의 왕관을 넘겨 whoa
명반 내래서 냈던 정규 whoa
랩부터 잘하래서 보여주고
증명했더니 이젠 벌고
오래 돈부터 whoa
처음부터 처음부터 처음부터
올라왔기에 태세가 전투적
어중이떠중이들 보면
피가 거꾸로
버는 놈이 되어있어 거꾸로
매달아 주머니에서 돈 털어
허풍들 터뜨려 whoa
홍대 술자리들은 썰 풀어
막상 마이크 입에 갖다 대면 어버버
그게 2020년의 예의라면 뺄 건 너
우리들의 무리들은
뿌리부터 불이 붙어
타올랐고 우리 둘이
우리 같은 뿌리들에게 횃불이
되었으면 하는 마음으로 지금 쓰지
Rhyme Beats 둘의 하모니
돌아가 본질은 여기 영원히
남겨졌고 여기부턴 아냐 우리 몫이
이제 우린 너희들에게 넘길게 불씨를
한 번 졌지만 두 번은 안 돼
세 번 속으면 그건 나의 탓이기에
미련 없이 털어버리고 갈게
사랑도 사랑 나름이기에
이건 10년짜리 지혜
누구에겐 그저 피해의식
누구에겐 한국 힙합의
역사를 이은 랩
근데 이 카메라를 통해 보면 지폐
so what you waiting for
now everybody sing that"
17,"ON AIR (Feat. 로꼬, 박재범 & GRAY)",릴보이 (lIlBOI),"woh I'm on air
구름 위 걸어 다녀 매일
hunnit dolla bills in my pocket
허나 발걸음만은 가볍게
5년 전과는 다른 위치
다른 state of mind
잃을 게 많아 보이긴 하지만
사실 i don't care
aye say hello to my little
friend like woh
시간이 지나도 I'm on it on it
굴린 적 없지 내 잔머린 머리
꽤 오래 자리를 비웠었지만
너도 알잖아 나의 랩은 iconic
그레이 형의 BEAT
이건 family business
불을 더 지피지 we gotta keep it real
다시 뭉쳤지 Team AOMG
커져버린 덩치 think this is the one
어느새 여기까지 이제야 보여 멀리까지
정확히 기억하지
끝나고 집에 돌아가던 날이
오늘은 점을 찍고
제대로 돌아가려 하지
same team same squad
but different day
바뀐 게 있다면 직접 보길 원해
새로운 역사를 난 이뤄내지
so come see me live now
We on air
You're bout to watch me dance
올라가지 We go way up
구름 위에서 난 헤엄
시간이 들었지만
어차피 우승은 내 말마따나 음
위험해 위험해 생방
불구덩이 내 자리 맡아놔
5년 전에 그린 TV 속의 팀
돌아왔다 각 풀어진 채로
막 수경으로 만기
다시 I can be your party band
In everywhere 난 groovy
아직도 걔네들은 멍청하더라
꼭 이래 보여줘야 불식
재빨리 사격 중지 괜찮아
맘 편하게 먹어 지긋이
AOMG 박재범이
아직까지도 의리로 대하듯이
나의 수입 I don’t know I don’t know
이제서야 다음 단계로 건강 걱정
눈에 들어오지도 않는 마름모
가벼움이 목적이 됐지
산뜻하게 머리카락 한 번 더 자르고
다시 또 쇼미더머니
릴보이 전화 한 통에
빨간 불빛 켜지면서
Let's go
We on air
You're bout to watch me dance
올라가지 We go way up
구름 위에서 난 헤엄
I’m on air
니네가 탑 클라스면 I’m God Tier
2010년부터 매해 It’s my year
classic like Illmatic like I’m Nasir
아옴그 하이어 없이 못 돌아가는 건 쇼미
난 그 두 레이블의 CEO지
완벽한 story
혁우가 날 보고 의리를 배웠지
그게 큰형님
여전히 yeah I’m still
on that boss shit huh
하이어 컴필 들어봐 mob shit huh
밑바닥 허슬 존나 빡세 huh
뭐든 처리해 알아 쨔샤 huh
미래 회장님 난 entrepreneur
원 소주 내년 출시 예정 pour up
떠날 때 경례를 보내 no hatin
전설이 돼가 나는 노란 Jay-Z
Jay-Z never change
Grind grind on the daily
몇십억을 거절해 그게 FLEX
나의 그림 계속 커가
성공이 나의 개인기
Entertainment & Sports Worldwide
누가 우리를 제대로 대표해
doin' that part
let me tell you
BTS 봉준호 손흥민 Jay Park
Let's go
yeah walkin' on air
구름 위를 걷는 기분
goin' up already there
yeah focus on me
모든 카메라가 나를 향하네
oh where they at
magic carpet ride
멀리 날아가
hocus pocus now
yeah yeah yeah yeah
현실에 부딪혀도
꿈이 있었기에 가능
when i was a little boy
인생은 짧지만 예술은 길어
오늘 밤에 모든 기를 부어
Zion.T와 기리보이
아옴그와 릴보이
Jay Park GRAY 로꼬
우승은 릴보이
승리의 세리머니
손가락 반지에 뽀뽀
We on air
You're bout to watch me dance
올라가지 We go way up
구름 위에서 난 헤엄
We on air
You're bout to watch me dance
올라가지 We go way up
구름 위에서 난 헤엄"
18,눈이 멀었다,MC몽,"눈이 멀었다 사랑 따위에
미련하게 영원함을 믿었었나 봐
숨이 멎었다 이별 따위에
타오른다고 다 사랑은 아닌가 봐
이 세상이 보기 싫어서
차라리 눈이 멀고 싶었어
내 삶의 빛은 너였어
근데 때로는 빛이 모든 걸 가려
두 귀를 막고 두 눈을 감고
멍청한 집착을 했었네
사라질 추억 하나 만들자고
내 전부를 준 건 아니었는데
눈만 먼 게 아니라
우리 사이도 멀어졌나 봐
아무것도 몰랐던 채로
난 너무 섣부르게도
온 맘을 다 했을지도
그게 독이 됐나 봐
눈이 멀었다 사랑 따위에
미련하게 영원함을 믿었었나 봐
숨이 멎었다 이별 따위에
타오른다고 다 사랑은 아닌가 봐
눈앞이 깜깜 깜깜해
매일이 밤 밤 밤 같애
눈부셨던 너 때문에
오아 눈이 멀었다
그녀가 전부인 것 같았어
어쩌면 변함없어 아직도
근데 넌 나를 망가트리고
사라졌지 닿지 않는 곳으로
그 사람이 무슨 잘못 있겠어
결국에는 다 내 잘못이지 뭐
눈부신 널 욕심 낸 게 죄라면
이 벌을 달게 받겠어
아무것도 몰랐던 채로
난 너무 섣부르게도
온 맘을 다 했을지도
그게 독이 됐나 봐
눈이 멀었다 사랑 따위에
미련하게 영원함을 믿었었나 봐
숨이 멎었다 이별 따위에
타오른다고 다 사랑은 아닌가 봐
눈앞이 깜깜 깜깜해
매일이 밤 밤 밤 같애
눈부셨던 너 때문에
오아 눈이 멀었다
눈이 멀었다 사랑 따위에
미련하게 영원함을 믿었었나 봐
숨이 멎었다 이별 따위에
타오른다고 다 사랑은 아닌가 봐"
19,FRIENDS (Prod. Slom),"릴보이 (lIlBOI), 원슈타인","꽃길이었으면 해
우리들 새로운 시작이
널 엄습하는 불안감도
이해가 돼서 난 가만히
앉아 있을 수 없네 걍
응원이라도 해볼까 해
we sing it like
ok i just made the bills huh
난 네게 전활 걸었지 ye
오랜만에 놀러와 like old times
내가 살게 그대로야 우리 집은
똑같은 동네 똑같은 곳에서
살어 remember back in the days
너와 나 매일같이
돌아다녔던 그때완 좀
달라졌지
but i don't think it matters
난 그대로기에
and you said it like
얼마 만이야 나도 생각나
아무 생각 없이도
재밌던 그때가 말야
its been a long year
다 같이 모였던
날이 몇 년 만인지
먼저 연락 줘서 고마워
but i got new job and kids to feed
예전같이 놀 수는 없잖아 생각 없이
당장 내일 아침부터 일이 있어
갈 순 없겠지만
but you have a wonderful night
aight
꽃길이었으면 해
우리들 새로운 시작이
널 엄습하는 불안감도
이해가 돼서 난 가만히
앉아 있을 수 없네 걍
응원이라도 해볼까 해
we sing it like
So no one told you life was
gonna be this way
내가 누누이 말한 조심하란 게
가끔씩 모든 관계가 비즈니스 같애
핸드폰
뚜뚜뚜뚜뚜뚜
안 들려
뚜뚜뚜뚜뚜뚜
이미 서로 버티고 있다는 걸 알아
이 얘기를 할 수 있는
널 제외하면 아마
내 주소록에 옮길 사람은
얼마 안 남아
요금제 괜히 무리해 무제한함
우린 항상 둘이 앉아서
피자를 먹거나
영화를 보곤 했지 하지만 지금
니가 떠난 소파에 싱크홀
뒤에 걸린 그 그림 그 방
이젠 추억이 되었네
꽃길이었으면 해
우리들 새로운 시작이
널 엄습하는 불안감도
이해가 돼서 난 가만히
앉아 있을 수 없네 걍
응원이라도 해볼까 해
we sing it like
All my friends gon ride
어디 갈진 몰라
너도 알겠지만
I hate to say goodbyes
All my friends gon ride
어디 갈진 몰라
너도 알겠지만
I hate to say goodbyes"
20,ON,방탄소년단,"I can't understand what people are sayin'
어느 장단에 맞춰야 될지
한 발자국 떼면 한 발자국 커지는 shadow
잠에서 눈을 뜬 여긴 또 어디
어쩜 서울 또 New York or Paris
일어나니 휘청이는 몸

Look at my feet, look down
날 닮은 그림자
흔들리는 건 이놈인가
아니면 내 작은 발끝인가
두렵잖을 리 없잖아
다 괜찮을 리 없잖아
그래도 I know
서툴게 I flow
저 까만 바람과 함께 날아

Hey na na na
미치지 않으려면 미쳐야 해
Hey na na na
나를 다 던져 이 두 쪽 세상에
Hey na na na
Can’t hold me down cuz you know I’m a fighter
제 발로 들어온 아름다운 감옥
Find me and I'm gonna live with ya

(Eh-oh)
가져와 bring the pain oh yeah
(Eh-oh)
올라타봐 bring the pain oh yeah
Rain be pourin'
Sky keep fallin'
Everyday oh na na na
(Eh-oh)
가져와 bring the pain oh yeah

Bring the pain
모두 내 피와 살이 되겠지
Bring the pain
No fear, 방법을 알겠으니
작은 것에 breathe
그건 어둠 속 내 산소와 빛
내가 나이게 하는 것들의 힘
넘어져도 다시 일어나 scream

넘어져도 다시 일어나 scream
언제나 우린 그랬으니
설령 내 무릎이 땅에 닿을지언정
파묻히지 않는 이상
그저 그런 해프닝쯤 될 거란 걸
Win no matter what
Win no matter what
Win no matter what
네가 뭐라던 누가 뭐라던
I don't give a uhh
I don't give a uhh
I don't give a uhh

Hey na na na
미치지 않으려면 미쳐야 해
Hey na na na
나를 다 던져 이 두 쪽 세상에
Hey na na na
Can’t hold me down cuz you know I’m a fighter
제 발로 들어온 아름다운 감옥
Find me and I'm gonna live with ya

(Eh-oh)
가져와 bring the pain oh yeah
(Eh-oh)
올라타봐 bring the pain oh yeah
Rain be pourin'
Sky keep fallin'
Everyday oh na na na
(Eh-oh)
가져와 bring the pain oh yeah

나의 고통이 있는 곳에
내가 숨 쉬게 하소서
My everythin’
My blood and tears
Got no fears
I'm singin’ ohhhhh
Oh I’m takin’ over
You should know yeah
Can’t hold me down cuz you know I’m a fighter
깜깜한 심연 속 기꺼이 잠겨
Find me and I’m gonna bleed with ya

(Eh-oh)
가져와 bring the pain oh yeah
(Eh-oh)
올라타봐 bring the pain oh yeah
Rain be pourin'
Sky keep fallin'
Everyday oh na na na
(Eh-oh)
Find me and I’m gonna bleed with ya

(Eh-oh)
가져와 bring the pain oh yeah
(Eh-oh)
올라타봐 bring the pain oh yeah
All that I know
is just goin’ on & on & on & on
(Eh-oh)
가져와 bring the pain oh yeah"
