Song_id,Rank,Title,Artist,Lyric,Genre
55,6,Astronaut In The Ocean,Masked Wolf,Astro-nautWhat you knowabout rolling down in the deepWhen your brain goes numbyou can call that mental freezeWhen these people talk too muchput that shit in slow motion yeahI feel like an astronautin the ocean ayWhat you knowabout rolling down in the deepWhen your brain goes numbyou can call that mental freezeWhen these people talk too muchput that shit in slow motion yeahI feel like an astronaut in the oceanShe say that I'm coolI'm like yeah that's trueI believe in G-O-Ddon't believe in T-H-O-TShe keep playing me dumbI'ma play her for funY'all don't really know my mentalLemme give youthe picture like stencilFallin' out in a droughtno flow right wordsI'm pouring downSee that pain was all aroundsee my mode was kinda loungeDidn't know whichwhich-way to turnFlow was cool but I still felt burntEnergy up you can feel my surgeI'ma kill everything like this purgeLet's just get this straightfor a second I'ma workEven if I don't get paidfor progression I'ma get itEverything that I do is electricI'ma keep it inner motionkeep it movin' like kinetic ayPut this shit in a framebut I know I don't blameEvery day that I sayMan I seen you deflateLet me elevatethis ain't a prankHave you wokenon a plank la-la-la-la-laOh pass togetherGod let me partyI've been going rightright around caught a relayPass the baton back to the mallswimming in the poolCan't drink 'em all uhWanna piece of thisa piece of mama a piece of XanCan you please readbetween the linesMy rhyme's inclinedto break your spineThey say that I'm so fineYou could never match my crimePlease do not now waste my timeWhat you know aboutrolling down in the deepWhen your brain goes numbyou can call that mental freezeWhen these people talk too muchput that shit in slow motion yeahI feel like an astronautin the ocean ayWhat you know aboutrolling down in the deepWhen your brain goes numbyou can call that mental freezeWhen these people talk too muchput that shit in slow motion yeahI feel like an astronaut in the ocean,Rap
56,7,Sunflower (Spider-Man: Into the Spider-Verse),Post Malone,Ayy ayy ayy ayy OohOoh ooh ooh ooh OohAyy ayyOoh ooh ooh oohNeedless to sayI keep her in checkShe was all bad-badnevertheless YeahCallin' it quits now babyI'm a wreck WreckCrash at my place babyyou're a wreck WreckNeedless to sayI'm keeping her in checkShe was all bad-bad neverthelessCallin' it quits now babyI'm a wreckCrash at my place babyyou're a wreckThinkin' in a bad waylosin' your gripScreamin' at my face babydon't tripSomeone took a big Ldon't know how that feltLookin' at you sidewaysparty on tiltOoh-ooh some thingsyou just can't refuseShe wanna ride me like a cruiseand I'm not tryna loseThen you're left in the dustunless I stuck by yaYou're a sunflowerI think your love would be toomuchOr you'll be left in the dustunless I stuck by yaYou're the sunfloweryou're the sunflowerEvery time I'm leavin'on ya Oohyou don't make it easy noNo noWish I could be there for yaOohgive me a reason to go ToEvery time I'm walkin' out OhI can hear you tellin' meto turn around Oh ohFightin' for my trustand you won't back down NoEven if we gotta risk itall right now oh NowI know you're scaredof the unknown KnownYou don't wanna be alone AloneI know I always come and goAnd goBut it's out of my controlAnd you'll be left in the dustunless I stuck by yaYou're the sunflowerI think your love would betoo muchOr you'll be left in the dustunless I stuck by yaYou're the sunfloweryou're the sunflower yeah,Rap
57,8,SUN GOES DOWN,Lil Nas X,I wanna run awayDon't wanna lieI don't want a lifeSend me a gun and I'll see the sunI'd rather run awayDon't wanna lieI don't want a lifeSend me a gun and I'll see the sunYou need an instant easeFrom the life where you got plentyOf every hurt and heartbreakYou just take it all to the faceI know that you want to cryBut it's much moreto life than dyin'Over your past mistakesAnd people who threw dirton your nameSince ten I been feelin' lonelyHad friendsbut they was pickin' on meAlways thinkin' why my lips so bigWas I too darkCan they sense my fearsThese gay thoughtswould always haunt meI prayed God would take it from meIt's hard for youwhen you're fightin'And nobody knows itwhen you're silentI'd be by the phoneStaning Nicki mornin' into dawnOnly place I felt like I belongedStrangers make youfeel so loved you knowAnd I'm happy by the wayThat I made that jumpthat leap of faithI'm happy that it allworked out for meI'ma make my fansso proud of me OhhhI wanna run awayDon't wanna lieI don't want a lifeSend me a gun and I'll see the sunI'd rather run awayDon't wanna lieI don't want a lifeSend me a gun and I'll see the sunYou need an instant easeFrom the life where you got plentyOf every hurt and heartbreakYou just take it all to the faceI know that you want to cryBut it's much moreto life than dyingOver your past mistakesAnd people who throw dirton your nameHa-oh ha-oh no-oh,Rap
58,9,ROXANNE,Arizona Zervas,"All for the 'Gram
Bitches love the 'Gram
Oh wait shit
Brr brr
Ayy yeah yeah yeah ayy
Brr brr brr ayy
Skrr skrr
Ninety four don't need
no brakes son
Roxanne Roxanne
All she wanna do is party
all night
God damn Roxanne
Never gonna love me
but it's alright
She think I'm a asshole
She think I'm a player
She keep running back though
Only 'cause I pay up
Roxanne Roxanne
All she wanna do is party
all night
Met her at a party
in the hills yeah
She just wanna do it
for the thrill yeah
Shorty drive a poodle
with no top Top top
But if I throw this money
she gon' drop ayy
She don't wait in lines
if it's too long
She don't drive the whip
unless the roof off
Only want to call
when the cash out
Only take the pic when her ass out
She from Malibu uh Malibu
If you ain't gotta foreign
then she laugh at you uh
Malibu Malibu
Spending daddy's money
with an attitude
Roxanne Roxanne
Roxanne Roxanne
All she wanna do is party
all night
God damn God damn
Roxanne Roxanne
Never gonna love me
but it's alright
She think I'm a asshole
She think I'm a player
She keep running back though
Only 'cause I pay up
Roxanne Roxanne
Roxanne Roxanne
All she wanna do is party
all night
I just wanna have fun
In LA yeah
Got no brakes yeah
Living fast Ricky Bobby
shaking bake yeah
See the chain Yeah
Issa lake yeah
Swipe the chase ooh
Now she wanna date yeah
Straight to Nobu
On the coast ooh
Shorty only like cocaine
and whole foods
Yeah
Snappin' all up on the
'Gram ass going crazy
Now she wanna fuck me
in the foreign goin' 80
Up in Malibu uh Malibu
If you ain't gotta foreign
then she laugh at you uh
Malibu Malibu
Spending daddy's money
with an attitude
Roxanne Roxanne
Roxanne Roxanne
All she wanna do is party
all night All night yeah
God damn God damn
Roxanne Roxanne
Never gonna love me
but it's alright Alright yeah
She think I'm a asshole
She think I'm a player
She keep running back though
Only 'cause I pay up
Roxanne Roxanne
Roxanne Roxanne
All she wanna do is party
all night",Rap
59,10,"I'm The One (Feat. Justin Bieber, Quavo, Chance The Rapper & Lil Wayne)",DJ Khaled,We the Best MusicAnother oneDJ KhaledYeah you're lookin' at the truthThe money never lie noI'm the one yeah I'm the oneEarly mornin' in the DawnKnow you wanna ride nowI'm the one yeahI'm the one yeahAnd you sick of all thoseother imitatorsDon't let the onlyreal one intimidate yaSee you watchin'don't run outta time nowI'm the one yeahOh eh oh oh oh eh ohI'm the oneOh eh oh oh oh eh ohI'm the only oneOh eh oh oh oh eh ohI'm the oneOh eh oh oh oh eh ohI'm the only oneYeah yeahQuavo I'm the one that hitthat same spot hit itShe the one that bring themrain drops rain dropsWe go back remember criss crossand hopscotch hopscotchYou the one that hold me downwhen the block's hot hotI make your dreams come truewhen you wake up dreamAnd your look's just the samewithout no make upHad to pull up on your mamasee what you're made of mamaAin't gotta worry 'bout themcommas 'cause my cake upYou can run inside my lifefrom that fame bus skrt'Cause I promise when we stepout you'll be famous yeahModern day Bonnie and Clydewhat they named us Clyde'Cause when we pull upbrt brt all anglesYeah you're lookin' at the truthThe money never lie noI'm the one yeah I'm the oneEarly mornin' in the DawnKnow you wanna ride nowI'm the one yeahI'm the one yeahAnd you sick of all thoseother imitatorsDon't let the only real oneintimidate yaSee you watchin'don't run outta time nowI'm the one yeahOh eh oh oh oh eh ohI'm the oneOh eh oh oh oh eh ohI'm the only oneOh eh oh oh oh eh ohI'm the oneOh eh oh oh oh eh ohI'm the only oneOkay thoughUh she beat her face upwith that new ChanelShe like the priceshe see the iceit make her coochie meltWhen I met her in the clubI asked her who she feltThen she went and put that bootyon that Gucci beltWe don't got no labelShe say she want bottlesshe ain't got no tableShe don't got no bed frameshe don't got no tablesWe just watchin' Netflixshe ain't got no cableokay thoughPlug plug plugI'm the plug for herShe want a nigga that pull herhair and hold the door for herBaby that's only me bitchit okay with meBaby okay okay thoughYeah you're lookin' at the truthThe money never lie noI'm the one yeah I'm the oneEarly mornin' in the DawnKnow you wanna ride nowI'm the one yeahI'm the one yeahAnd you sick of all thoseother imitatorsDon't let the only real oneintimidate yaSee you watchin'don't run outta time nowI'm the one yeahOh eh oh oh oh eh ohI'm the oneOh eh oh oh oh eh ohI'm the only oneOh eh oh oh oh eh ohI'm the oneOh eh oh oh oh eh ohI'm the only oneLookin' for the oneWell bitchyou're lookin' at the oneI'm the best yetand yet my best is yet to come'Cause I've been lookin'for somebodyNot just any fuckin' bodyDon't make me catch a bodyThat's for any and everybodyOh my GodShe hit me up all dayget no responseBitch you blow my highThat's like turnin'gold to bronzeroll my eyesAnd when she on the Mollyshe a zombieShe think we Clyde and BonnieBut it's morelike Whitney and BobbyGod forgive meTunechi F finessin'I'm a legendStraight up out the CrescentFly your bae down for the EssenceFor the record I knew Khaledwhen that boy was spinnin' recordsMula Gang winnin' recordI'm just flexin' on my exesoh GodYeah you're lookin' at the truthThe money never lie noI'm the one yeah I'm the oneEarly mornin' in the DawnKnow you wanna ride nowI'm the one yeahI'm the one yeahAnd you sick of all thoseother imitatorsDon't let the only real oneintimidate yaSee you watchin'don't run outta time nowI'm the one yeahOh eh oh oh oh eh ohI'm the oneOh eh oh oh oh eh ohI'm the only oneOh eh oh oh oh eh ohI'm the oneOh eh oh oh oh eh ohI'm the only oneAnother oneDon't you know girlDon't you know girlI am the one for you I'm the oneYeah I'm the oneDon't you know girlDon't you know girlI am the one for you I'm the oneYeah I'm the oneDon't you know girlDon't you know girlI am the one for you I'm the oneYeah I'm the oneDon't you know girlDon't you know girlI am the one for you I'm the oneYeah I'm the one,Rap
60,11,Best Friend (feat. Doja Cat),Saweetie,That’s my bestfriendshe a real bad bitchGot her own moneyshe don’t need no nigOn the dance floorshe had two three drinksNow she twerkinshe throw it out and come back inThat’s my bestfriendshe a real bad bitchDrive her own carshe dont need no lyftIn the strip clubknow my girl gone tipNow she twerkinthrow it out and come back inBeep beep isthat my bestie in a tesiFresh blow outskin on 10 owe she readyBitch you look goodtwit a t at the endImma hype her every timethat’s my mothafuckin friendShe been downsince the jellies and the bo bo’sNow we steppin out the G in manolo’sWhen we pull up to scenehoes be filled with jealousyIf a Bitch get finickyshe gone bring that energyI hit her phone with the tealike bitch guess whatAll the rich ass boyswanna fuck on usAll this ass sittin upyou can look don’t touchAnd I’m bad bussin bandsevery time we link upThat’s my bestfriendshe a real bad BitchGot her own moneyshe don’t need no nigOn the dance floorshe had two three drinksNow she twerkinshe throw it out and come back inThat’s my bestfriendshe a real bad bitchDrive her own carshe dont need no lyftIn the strip clubknow my girl gone tipNow she twerkinthrow it out and come back inThat’s my bestfriendif you need a freakI aint dumb but mothaffucka she my tweedle DIf she ride for meshe dont need a keyIf you sidewaysshe’ll straighten you as needed beAnd she so bad thatI just can’t take that bitch nowhereshe off her fish I said Mm-mm don't go there Bitch break her backshe protect and attackGet that strap let them buckleFoot on neck give no airWhole world wanna be usMy main bitch she my day 1On my way bitchletcha get drunkCelebrate causewe the baddest in the clubThat’s my bestfriendshe a real bad bitchGot her own moneyshe don’t need no nigOn the dance floorshe had two three drinksNow she twerkinshe throw it out and come back inThat’s my bestfriendshe a real bad bitchDrive her own carshe dont need no lyftIn the strip clubknow my girl gone tipNow she twerkinthrow it out and come back inBest friend youthe baddest and you know itUh oh girl I think yo booty growingFuck it up in the mirrorhit them posesBest friend damnyou mothafuckin glowingBest friend damnyo wrist look like it’s frozenUh oh girl I think yo booty growingFuck it up in the mirrorhit them posesBest friend youmothafuckin soulmate,Rap
61,12,Goodbyes (Feat. Young Thug),Post Malone,Me and Kurt feel the sametoo much pleasure is painMy girl spites me in vainall I do is complainShe needs something to changeneed to take off the e-e-edgeSo fuck it all tonightAnd don't tell me to shut upWhen you know you talk too muchBut you don't got shit to saySayI want you out of my headI want you out ofmy bedroom tonightBedroomThere's no way I could save youSave you'Cause I need to be saved tooI'm no good at goodbyesWe're both actin' insanebut too stubborn to changeNow I'm drinkin' again80 proof in my veinsAnd my fingertips stainedlooking over the e-e-edgeDon't fuck with me tonightSay you needed this heartthen you got it Got itTurns out that itwasn't what you wantedWantedAnd we wouldn't let goand we lost itNow I'm a gonerI want you out of my headHeadI want you out of my bedroom tonightBedroomThere's no way I could save youSave you'Cause I need to be saved tooSaved tooI'm no good at goodbyesI want you out of my lifeI want you back here tonightI'm tryna cut you no knifeI wanna slice you and dice youMy argue possessiveit got you preciseCan you not turn off the TVI'm watchin' the fightI flood the garageblue diamond no sharkYou're Barbie life dollit's Nicki MinajYou don't need a key to driveyour car on the chargerI just wanna see the sidethe one that's unbotheredYeahAnd I don't want yato never go outsideOutsideI promise if they playmy niggas slidin'Slidin'I'm fuckin' herand the tour bus still ridin'Ridin'Yeah yeah yeah yeah yeahI want you out of my headHeadI want you out of my bedroom tonightBedroomThere's no way I could save youSave you'Cause I need to be saved tooSaved tooI'm no good at goodbyesGoodbye goodbye goodbyeBye byeGoodbye goodbye goodbyeYeah yeah yeah yeah yeahGoodbye goodbye goodbyeBye bye byeI'm no good at goodbyesGoodbye goodbye goodbyeBye byeGoodbye goodbye goodbyeBye byeGoodbye goodbye goodbyeBye byeI'm no good at goodbyes,Rap
62,13,Go Crazy,Chris Brown,Oh yeahOh is that Kaniel againOhAyy bring it bring it backbring it back bring it backOh yeahLaid up got me thinkin' babeTell me if you with it'cause I'm with it babeI haven't heard?from?youin a minute babeJust tell me?what to dowhen I get it babeGucci and PradaTrips to your cribin the middle of the nightI know that you miss me'cause I put it down rightDamn babeI can put you on a flightYou know that a nigga like mecan change your lifeOh babyEverything you do is amazingAin't nobody watchin' go crazyI got what you needEverybody think you shybut I know you a freaklil' baby OhEverything you do is amazingYeahAin't nobody watchin'go crazy YeahI got what you need YeahEverybody think you shybut I know you a freaklil' baby YeahI been overseas goin' crazy YeahI can tell you love itwhen we made up AyyBlack and gray diamondslike a Raider RaiderOrange peelyour love is real YeahLovin' skillsI need some lovin' skills YeahLeft my dirty drawersand you love me still YeahEyes come lazybut she is real YeahDressed to kill Yeah yeah yeahWe can bum-bum'til you're tired OhI can put a stone by your eye OhI can see you neverswitchin' sidesYou never tell me liesNot rushin' tie-ties yeahTrips to your cribin the middle of the nightI know that you miss me'cause I put it down rightDamn babeI can put you on a flightYou know that a nigga like mecan change your lifeOh babyEverything you do is amazingAin't nobody watchin' go crazyI got what you needI got what you needEverybody think you shybut I know you a freaklil' babyYeah get me litHoes on my phonewhen they find outthat I'm richThen they switchwhen they seeI'm choosin' on my bitchTop down got her doin'donuts on the dick yeahPose for the flickDamn it bust it babywatch you do it on a splitShe don't need no handsor no pants do your dancePoppin' rubber bandsdid the dash make it fast OhAyy bring it bring it backbring it back bring it backYeah waitin' by mephone just to dickyou down downLet me put it down downNow put it down downWatch me put it down downBring it back bring it backbring it backPut it down downTrips to your crib in the middleof the nightI know that you miss me'cause I put it down rightDamn babe I can put youon a flightYou know that a nigga like mecan change your lifeOh babyEverything you do is amazingAin't nobody watchin' go crazyI got what you needEverybody think you shybut I know you a freaklil' baby OhEverything you do is amazingYeahAin't nobody watchin' go crazyI got what you needEverybody think you shybut I know you a freaklil' baby,Rap
63,14,death bed (feat. beabadoobee),Powfu,Don't stay awake for too longdon't go to bedI'll make a cup of coffeefor your headIt'll get you upand going out of bedYeah I don't wanna fall asleepI don't wanna pass awayI been thinking of our future'cause I'll never see those daysI don't know why this hashappenedbut I probably deserve itI tried to do my bestbut you know that I'm not perfectI been praying for forgivenessyou've been praying for my healthWhen I leave this earth hopin'you'll find someone else'Cause yeah we still youngthere's so much we haven't doneGetting married start a familywatch your husband with his sonI wish it could be mebut I won't make it out this bedI hope I go to heavenso I see you once againMy life was kinda shortbut I got so many blessingsHappy you were mineit sucks that it's all endingDon't stay awake for too longdon't go to bedI'll make a cup of coffeefor your headIt'll get you upand going out of bedYeah ayyDon't stay awake for too longdon't go to bedI'll make a cup of coffeefor your headIt'll get you upand going out of bedAyy yeahI'm happythat you're here with meI'm sorry if I tear upWhen me and you were youngeryou would always make me cheer upTaking goofy videosand walking through the parkYou would jump into my armsevery time you heard a barkCuddle in your sheetssang me sound asleepI sneak out through your kitchenat exactly 1:03Sundays went to churchon Mondays watched a movieSoon you'll be alonesorry that you have to lose meDon't stay awake for too longdon't go to bedI'll make a cup of coffeefor your headIt'll get you upand going out of bedDon't stay awake for too longdon't go to bedI'll make a cup of coffeefor your headIt'll get you upand going out of bedDon't stay awake for too longdon't go to bedI'll make a cup of coffeefor your headIt'll get you upand going out of bedDon't stay awake for too longdon't go to bedI'll make a cup of coffeefor your headIt'll get you upand going out of bedDon't stay awake for too longdon't go to bedI'll make a cup of coffeefor your headIt'll get you upand going out of bed,Rap
64,15,LET IT GO (Feat. Justin Bieber & 21 Savage),DJ Khaled,Yeah-yeah yeah Yeah Yeah-yeah yeah Yeah-yeah yeah We The Best Music Yeah-yeah yeah Yeah-yeah yeah Another one Yeah-yeah yeah DJ Khaled Oh I gotta I gotta I gotta make my mind up I won't grind gon' shine until my time's up I got money on my mind is that a crime yo Don't wanna go back to the days when I was broke But girl you my priority Woo And I'll put your heart way over me And money ain't shit if I ain't with you bae Give it all away just to get you back Can't put a price on what we had Ooh Thеy say Time is money but money can't makе no time Make no time Sometimes it's sunny but sometimes it don't shine No it don't shine And life is a bitch but sometimes it's alright It's alright So I'ma let go of things I can't control Let it go Oh-oh-oh let it go Oh-oh-oh Let it go Oh-oh-oh let it go Oh-oh-oh Let it go Oh-oh-oh 21let it go Oh-oh-oh on GodLet it go Let it go oohI'll let it go if you saythat you love methat shit better show On GodDon't tryna play like I'm slow'cause you been 'round the blockand I know this for sure 21She ask for secondsI give her some moreand I'm proud of myself'cause I used to be poorNow I just hustle and grindand stack it til'all of my muscles is sore On GodDon't play a sport but I ball 21Answer the phone when I call 21I get up whenever I falldon't try me it's gonna end upin a brawl On GodPorsche lights looklike a frog A frogCost a few hundredthat's all That's allRichard Mille sit on my wristI'm built four-waydon't do shit small On GodAss so fat can't sit upShawty got a loadin the back like a pick-upQuarter million dollarsevery time I do a pick upFans got they arms in the airlike a stick-up 21Money growin' like itgot hiccuped 21You know it's some dopeif I whip up Straight upTime is money lil babyyou beautifulI ain't got no choicebut to tip ya 21 oohThey say Time is moneybut money can't make no timeMake no timeSometimes it's sunnybut sometimes it don't shineNo it don't shine 21 21And life is a bitchbut sometimes it's alright It's alrightSo I'ma let go of things I can't controlLet it go Oh-oh-oh 21 21let it go Oh-oh-oh straight upLet it go Oh-oh-oh oh Godlet it go Oh-oh-ohLet it go Oh-oh-oh 21 21let it go Oh-oh-oh let it goLet it go Let it go oohWe The Best MusicAnother one,Rap
65,16,WAP (feat. Megan Thee Stallion),Cardi B,"Yea yea yea yea yea yea
I said
Certified freak
Seven days a week
Wet ass pussy
Make that pull-out game weak
Yea yea yea yea
Yea You fucking
with some wet ass pussy
Bring a bucket and a mop
for this wet ass pussy
Give me everything you got
for this wet ass pussy
Beat it up nigga
Catch a charge
Extra large
And extra hard
Put this pussy right in yo face
Swipe yo nose like a credit card
Hop on top I wanna ride
I do a Kegel while it’s inside
Spit in my mouth look in my eyes
This pussy is wet
Come take a dive
Tie me up
Like I’m a surprise
Let’s role play
I wear a disguise
I want you to park that Big Mac truck
right in this little garage
Make it cream
Make me scream
Out in public
Make a scene
I don’t cook
I don’t clean
But let me tell you how I got this ring
Gobble me swallow me
Drip down inside of me
Quick jump out
'fore you let it get inside of me
I tell him where to put it
never tell him where I’m about to be
I run down on him
Before I let a nigga running me
Talk yo shit
Bite yo lip
Ask for a car while you ride that dick
You really ain’t never gotta
fuck him for a thang
He already made his mind up
before he came
Now get yo boots and coat
for this wet ass pussy
He bought a phone just
for pictures of this wet ass pussy
Pay my tuition just to kiss me
on this wet ass pussy
Now make it rain
if you wanna see some wet ass pussy
Look
I need a hard hitter
I need a deep stroker
I need a Henny drinker
I need a weed smoker
Not a garden snake
I need a king cobra
With a hook in it
I hope it lean over
He got some money then
that’s where I’m headed
Pussy A1 just like his credit
He got a beard
Well I’m trynna wet it
I let him taste it
Now he diabetic
I don’t wanna spit
I wanna gulp
I wanna gag
I wanna choke
I want you to touch
that little dangly dang that swang
in the back of my throat
My head game is fire
Punani Dasani
It’s going in dry
It’s coming out soggy
I ride on that thang
like the cops is behind me
I spit on his mic now
he’s trynna sign me
Oh
Your honor I’ma freak bitch
Hand cuffs leashes
Switch my wig make it
feel like he cheating
Put him on his knees
give him something to believe in
Never lost a fight
but I’m looking for a beating
In a food chain
I’m the one that eat ya
If he ate my ass he’s a bottom feeda
Big D stands for big demeanor
I could make you bust
before I ever meet ya
If it don’t hang then he can’t bang
You can’t hurt my feelings
but I like pain
If he fuck me and ask who’s is it
When I ride the dick
ima spell my name
Yea yea yea yea
Yea You fucking
with some wet ass pussy
Bring a bucket and a mop
for this wet ass pussy
Give me everything you got
for this wet ass pussy
Now from the top make it drop
That’s some wet ass Pussy
Now get a bucket and a mop
That’s some wet ass Pussy
I’m talking WAP WAP WAP
That’s some wet ass Pussy
Macaroni in a pot
That’s some wet ass Pussy",Rap
66,17,Love Or Lust,24KGoldn,"Up, up, up, up, upLookOnce upon a time man I heard that I was uglyCame from a bitch who Nigga wanna fuck on meSaid my face bomb ass tightRacks stack up Shaq heightJewelry on me flash lightI been lit since last nightHit him with that good goodMake a nigga act rightBroke boys don’t deserve no pussy(I know that’s right!)Big bag bussin out the Bentley BentaygaMan Balenciaga Bardi back and all these bitches fuckedIt’s big bags bussin out the Bentley Bentayga ManBirkin bag Bardi back and all you bitches fuckedIf it’s up, then it’s up, then it’s up, then it’s stuckIf it’s up, then it’s up, then it’s up, then it’s stuck AyeUp then it’s up, if it’s up, then it’s stuck If it’s up, then it’s up, then it’s up, then it’s stuck BitchI could make the party hotI could make ya body rockBitches say they fucking with meChances are they probably notIf I had a dick ya probably lick it like a lollipopHoes speaking Capeneese hit her with karate chopIm forever popping shitPulling up and dropping shitGotta argue with him cause a nigga love a toxic bitchNiggas out here playing gotta make him understandif it ain’t no ring on my finger you ain’t going on my gramSaid my face bomb ass tightRacks stack up Shaq heightJewelry on me flash lightI been lit since last nightHit him with that good goodMake a nigga act rightBroke boys don’t deserve no pussy(I know that’s right!)Big bag bussin out the Bentley BentaygaMan Balenciaga Bardi back and all these bitches fuckedIt’s big bags bussin out the Bentley Bentayga ManBirkin bag Bardi back and all you bitches fuckedIf it’s up, then it’s up, then it’s up, then it’s stuckIf it’s up, then it’s up, then it’s up, then it’s stuck AyeUp then it’s up, if it’s up, then it’s stuck If it’s up, then it’s up, then it’s up, then it’s stuck BitchBitches ain’t fucking with me now and I can see whyDirty ass dusty ass bitch you got pink eyeBitches want smoke until I bring it to they door stepTell that bitch bag back breathe smell like horse sexPut it on him now he will never be the sameTatted on my ass cause I really like the painHe nutted on my butt I said I’m glad that you cameThen I told that nigga peace like Martin Luther kingBig bag bussin out the Bentley BentaygaMan Balenciaga Bardi back and all these bitches fuckedIt’s big bags bussin out the Bentley BentaygaMan Birkin bag Bardi back and all you bitches fuckedIf it’s up, then it’s up, then it’s up, then it’s stuckIf it’s up, then it’s up, then it’s up, then it’s stuckAyeUp then it’s up, if it’s up, then it’s stuckIf it’s up, then it’s up, then it’s up, then it’s stuckBitchGotta play it safe, no face no case",Rap
67,18,ROCKSTAR (Feat. Roddy Ricch),DaBaby,Look if you hadone shot or one opportunityTo seize everything you everwanted inone momentWould you capture itjust let it slipyoHis palms are sweatyknees weak armsare heavy There'svomit on his sweater alreadymom's spaghettiHe's nervous but on thesurfacelooks calm and readyTo drop bomb but he keepson forgetting what hewrote downThe whole crowd goesso loudhe opens his mouthBut the words won'tcome outHe's chokin' howeverybody's chokin' nowThe clocks run outtimes up over bloahSnap back to realityoh there goes gravitoh There goes rabbit hechokedhe's so mad but he won'tGive up that easy nohe won't have it he knowsHis whole back's ofthese ropesit don't matter he's dopeHe knows that but he's brokehe so stagnant that he knowsWhen he goes back to thismobile home that's when it'sBack to the lab again yoThis whole raposedybetter go capture thismoment And hope it don'tYou better loseyourself in the musicThe moment you own ityou better never let it goYou only get one shotdo not miss your chanceto blowThis opportunity comesonce in a life time yoYou better loseyourself in the musicThe moment you own ityou better never let it goYou only get one shotdo not miss your chanceto blowThis opportunity comesonce in a life time yoHis souls escapingthrough this hole thatis gapingThis world is mine forthe takingmake me kingAs we move toward'anew world ord'aa normal life is boringBut superstardomsclose to post mortumIt only grows harderonly grows hotterHe blows it's all overthese hoes is all on himCoast to coast shows he'sknown as the globetrotterLonely roads godonly knowshe's grown fartherfrom homeHe's no father hegoes homeand barely knows hisown daughterBut hold your nose'cause here goes thecold waterThese hoes don't wanthim no mo'he's cold productThey moved on to thenext shmo'who flows he nosedove andsold nadaSo the soap opera'stold it unfolds isuppose it's oldpartner But the beat goes onda da dum da da dum dattaYou better loseyourself in the musicThe moment you own ityou better never let it goYou only get one shotdo not miss your chanceto blowThis opportunity comesonce in a life time yoyourself in the musicThe moment you own ityou better never let it goYou only get one shotdo not miss your chanceto blowThis opportunity comesonce in a life time yoNo more gamesI'ma change what youcall rageTear this mother fuckinroof off like 2 dogs cagedI was playin in the beginningthe mood all changedI been chewed upand spit out and booedoff stageBut I kept rhymin' and stepwritin' the next cypherYou best believesomebody's payin' thepied piperAll the pain insideamplified by thefact that I can'tget by with my nine tofive And I can'tprovide the right type'aLife for my family'cause man These goddamnfood stamps don't buydiapersAnd it's no moviethere's no Mekhi PhiferThis is my lifeand these times are so hardAnd it's getting even hardertryin' to feed and watermy seed plusTeetertotter caught upbetweenbein' a fatherand a prima donna Babymama drama's screamin'on andToo much for me to wannastay in one spotanother day of monotonyHas gotten me to the pointI'm like a snail I've gotTo formulate a plot'fore I end up in jail or shotSuccess is my onlymotherfuckin'option failure's notMom I love you but thistrailer's got to goI cannot grow old inSalem's lotSo here I go it's my shotfeet fail me not This maybeonly opportunity that I gotYou better loseyourself in the musicThe moment you own ityou better never let it goYou only get one shotdo not miss your chanceto blowThis opportunity comesonce in a life timeYou better loseyourself in the musicThe moment you own ityou better never let it goYou only get one shotdo not miss your chanceto blowThis opportunity comesonce in a life time yoYou can do anythingyou set your mind to man,Rap
