순위,제목,가수,가사
11,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악동뮤지션),"일부러 몇 발자국 물러나
내가 없이 혼자 걷는 널 바라본다
옆자리 허전한 너의 풍경
흑백 거리 가운데 넌 뒤돌아본다
그때 알게 되었어
난 널 떠날 수 없단 걸
우리 사이에 그 어떤 힘든 일도
이별보단 버틸 수 있는 것들이었죠
어떻게 이별까지 사랑하겠어
널 사랑하는 거지
사랑이라는 이유로
서로를 포기하고
찢어질 것같이 아파할 수 없어 난
두세 번 더 길을 돌아갈까
적막 짙은 도로 위에 걸음을 포갠다
아무 말 없는 대화 나누며
주마등이 길을 비춘 먼 곳을 본다
그때 알게 되었어
난 더 갈 수 없단 걸
한 발 한 발 이별에 가까워질수록
너와 맞잡은 손이 사라지는 것 같죠
어떻게 이별까지 사랑하겠어
널 사랑하는 거지
사랑이라는 이유로
서로를 포기하고
찢어질 것같이 아파할 수 없어 난
어떻게 내가 어떻게 너를
이후에 우리 바다처럼 깊은 사랑이
다 마를 때까지
기다리는 게 이별일 텐데
어떻게 내가 어떻게 너를
이후에 우리 바다처럼 깊은 사랑이
다 마를 때까지
기다리는 게 이별일 텐데"
12,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,"네가 없이 웃을 수 있을까
생각만 해도 눈물이나
힘든 시간 날 지켜준 사람
이제는 내가 그댈 지킬 테니
너의 품은 항상 따뜻했어
고단했던 나의 하루에
유일한 휴식처
나는 너 하나로 충분해
긴 말 안 해도 눈빛으로 다 아니깐
한 송이의 꽃이 피고 지는
모든 날 모든 순간 함께해
햇살처럼 빛나고 있었지
나를 보는 네 눈빛은
꿈이라고 해도 좋을 만큼
그 모든 순간은 눈부셨다
불안했던 나의 고된 삶에
한줄기 빛처럼 다가와
날 웃게 해준 너
나는 너 하나로 충분해
긴 말 안 해도 눈빛으로 다 아니깐
한 송이의 꽃이 피고 지는
모든 날 모든 순간 함께해
알 수 없는 미래지만
네 품속에 있는 지금 순간 순간이
영원 했으면 해
갈게 바람이 좋은 날에
햇살 눈부신 어떤 날에 너에게로
처음 내게 왔던 그날처럼
모든 날 모든 순간 함께해"
13,내 마음이 움찔했던 순간 (취향저격 그녀 X 규현),규현 (KYUHYUN),"어떤 말로 표현해야
그대 알 수 있을까요
어떤 맘을 담아내야만
그대에게 전해질까
하루 종일 눈에 아른거려서
똑같은 매일을 보내고 있다고
나의 맘이 부담이 돼
그대가 달아날까 봐
함께 있는 지금만으로도
충분하다 생각했지만
점점 커지는
그댈 향한 마음에
이젠 말을 하고 싶죠
그댈 사랑하고 있어요
꽤 오래전부터
그대를 처음 본 후 지금까지
내 마음이 한순간 네게 움찔했죠
그때부터 나의
세상은 달라졌죠
그댄 아마 모르겠죠
나의 이런 마음들을
요동치는 소리까지도
꼭 숨겼으니까
난 아직도 많이 겁이 나지만
이제는 용기 내볼게요
그댈 사랑하고 있어요
꽤 오래전부터
그대를 처음 본 후 지금까지
내 마음이 한순간 네게 움찔했죠
그때부터 나의 세상은 달라졌죠
곁에 있는 지금도 행복해
여태껏 아껴뒀던 말
그댈 사랑하고 있어요
꽤 오래전부터
혹시 그대도 나와 같길 기도하며
내 마음이 한순간 네게 움찔했죠
그때부터 나의 세상은 달라졌죠"
14,늦은 밤 너의 집 앞 골목길에서,노을,"오래되었어 그때 너의 웃음
너의 목소리 잊혀진거 같아
시간의 위로 그 말의 의미를 이젠 알아
아픈 니 얘기도 적당히 할 수 있어
그런데 이게 뭐랄까 난 난 술 한잔하면서
괜찮은 듯 얘기하며 널 털어냈는데
집으로 돌아오면서
한 번 더 떠오른 기억에
걸음을 멈춰 서서 이렇게 울고 있어
자연스럽게 발걸음을 돌려
나 바래다주던 익숙한 길을 가
밤이 깊어져서 아무것도 보이지 않아도
손을 흔들면서 인사하던 널 봤어
그런데 이게 뭐랄까 난 난 술 한잔하면서
괜찮은 듯 얘기하며 널 털어냈는데
집으로 돌아오면서
한 번 더 떠오른 기억에
걸음을 멈춰 서서 이렇게 울고 있어
아무도 없어서 참 다행이야
나 이렇게 편안히 너를 부를 수 있는 걸
외로운 위로겠지만
그래서 이젠 뭘 할까 난 난 널 생각했어도
괜찮은 듯 얘기하며 다 지워냈는데
집으로 돌아오면서
한 번 더 떠오른 추억에
걸음을 멈춰 서서 또다시 울고 있어"
15,혼술하고 싶은 밤,벤,"위로받고 싶은 날 내겐 말해도 돼
위로받고 싶은 날 내겐 기대도 돼
비에 섞인 음악 소리에
혼자 젖은 새벽 감성에
때론 너무 지치고 때론 너무 지쳐서
가끔 아주 가끔
혼술하고 싶은 밤 전화해
혼자 있고 싶은 밤 전화해
참았던 눈물에 울컥해도 괜찮아
가끔 아주 가끔
혼술하고 싶은 밤 전화해
잠이 오지 않는 이 밤에
한 번쯤 소리 내 울컥해도 괜찮아
가끔 아주 가끔
웃고 싶지 않은 날 그냥 그래도 돼
도망치고 싶은 날 그래 떠나도 돼
비에 섞인 눈물 소리에
젖어 드는 슬픈 감정에
때론 너무 지치고 때론 너무 지쳐서
가끔 아주 가끔
혼술하고 싶은 밤 전화해
혼자 있고 싶은 밤 전화해
참았던 눈물에 울컥해도 괜찮아
가끔 아주 가끔
혼술하고 싶은 밤 전화해
잠이 오지 않는 이 밤에
한 번쯤 소리 내 울컥해도 괜찮아
가끔 아주 가끔
전부 이해할 수 없지만 내게 말해
참았던 눈물이 왈칵 쏟아질까 봐
미치게 답답해 울컥하는 마음에
가끔 기대도 돼 내게
혼술하고 싶은 밤 외로워
혼자라는 생각에 서러워
말없이 눈물로 소리쳐도 괜찮아
그래 울어도 돼
혼술하고 싶은 밤 외로워
잠이 오지 않는 이 밤에
한 번쯤 소리 내 울컥해도 괜찮아
가끔 아주 가끔"
16,아로하,조정석,"어두운 불빛아래 촛불 하나
와인 잔에 담긴 약속하나
항상 너의 곁에서 널 지켜줄거야
날 믿어준 너였잖아
나 바라는 건 오직 하나
영원한 행복을 꿈꾸지만
화려하지 않아도 꿈같진 않아도
너만 있어주면 돼
걱정 마 I believe
언제나 I believe
이 순간을 잊지 않을게
내 품에 I believe
안긴 너의 미소가
영원히 빛을 잃어 가지 않게
Cause your love is so sweet
You are my everything
첫날 밤에 단 꿈에 젖어
하는 말이 아냐 난 변하지 않아
오직 너만 바라볼거야 oh
You’re light of my life
You are the one in my life
내 모든걸 다 잃는대도
후회하지 않아
오직 너를 위한
변하지 않는 사랑으로
나 바라는 건 오직 하나
영원한 행복을 꿈꾸지만
화려하지 않아도 꿈같진 않아도
너만 있어주면 돼
약속해 I believe
힘들 땐 I believe
너의 그늘이 되어줄게
내품에 I believe
안긴 너의 미소가
영원히 빛을 잃어 가지 않게
Cause your love is so sweet
You are my everything
첫날 밤에 단 꿈에 젖어
하는 말이 아냐 난 변하지 않아
오직 너만 바라볼거야 oh
You’re light of my life
You are the one in my life
내 모든걸 다 잃는대도
후회하지 않아
오직 너를 위한
변하지 않는 사랑으로
You’re light of my life
You are the one in my life
내 모든걸 다 잃는대도
후회하지 않아
오직 너를 위한
변하지 않는 사랑으로
All I ever want is your love"
17,너의 번호를 누르고 (Prod. 영화처럼),#안녕,"우연히 너를 만나서
너의 옆자리에 앉아
그렇게 우린 친해졌어
짧은 시간에 그렇게
가까워질 수 있다는게
그게 참 신기했어
소소한 일상부터
어린 시절 얘기 까지도
그리 똑같진 않아도
말이 참 잘 통해서
더 짧았던 거야
너의 번호를 누르고
설레임을 가득 채우다
너의 번호를 지우며
좋았던 시간을 덜어내
그때 난 왜 몰랐을까
이뤄질 수 없는
짧은 시간속의
우린 여기 까지인 가봐
어쩌다 먼 훗날에
그때 우리 약속 기억 날까
아쉬움만 가득했던
그때 난 왜 그랬을까
너의 번호를 누르고
설레임을 가득 채우다
너의 번호를 지우며
좋았던 시간을 덜어내
그때 난 왜 몰랐을까
이뤄질 수 없는
짧은 시간속의
우린 여기까지인 가봐
아무일 없이 살다보면
모두 잊혀질거라
또 맘을 속이고 달래도
자꾸만 그 때 니가 생각나
또 너를 부르게 돼
너의 번호를 누르고
설레임을 가득 채우다
너의 번호를 지우며
좋았던 시간을 덜어내
그때 난 왜 몰랐을까
이뤄질 수 없는
짧은 시간속의
스쳐가버린
그 때 그 시절 속의
우린 여기까지인 가봐"
18,함께 했는데 이별은 나 혼자인 거야,소정 (레이디스 코드),"이젠 누군갈 만나는 게 난
아직은 힘이 들것 같아
다시는 믿고 싶지 않아
왜 난 사랑을 하면 할수록
뭐 그리도 어려운 건지
홀로 남겨질 내게 또 미안해
날 사랑한다며
절대 안 떠나겠다며
너를 많이 사랑했는데
모든 걸 함께 했었는데
이별은 나 혼자인 거야
왜 이런 거냐고
잠시 내가 미워진 거라면
기다릴 수 있어 네가 돌아올 때까지
날 놓지 말아 줘
애써 날 위해주는 척하는
너의 그 뻔한 표정에서
네 맘의 끝을 봤어
착각이길 바랐어
이러지 말아 줘
맘이 찢어질 것 같아
너를 많이 사랑했는데
모든 걸 함께 했었는데
이별은 나 혼자인 거야
왜 이런 거냐고
잠시 내가 싫어진 거라면
기다릴 수 있어 네가 돌아올 때까지
날 놓지 말아 줘
나만을 바라보겠단 너를 믿고
네게 모든 걸 주고 사랑했었어
그래 내가 널 보내야겠지
내가 부족한 탓일까
정말 많이 사랑했는데
네 품에 안기고 싶은데
다시 널 기다리는 내가
참 비참해 보여
다시 내게 돌아와 준다면
나 울지 않을게
그땐 내 곁에 있어줘
날 놓지 말아 줘"
19,마음을 드려요,아이유,"당신에게 드릴 게 없어서
나의 마음을 드려요
그대에게 받은 게 많아서
표현을 다 할 수가 없어요

나지막한 인사에
수많은 내 마음 고이 담아
그대에게로 건네면
내 마음 조금 알까요

어떤 이유로 만나
나와 사랑을 하고
어떤 이유로 내게 와
함께 있어준 당신

부디 행복한 날도
살다 지치는 날도
모두 그대의 곁에 내가
있어줄 수 있길

어떤 소식 보다 더
애타게 기다려지는 그대
엇갈리지 않게 여기
기다릴게요

눌러 적은 편지에
수많은 그리움 고이 담아
그대 내게로 올 때면
그 손에 쥐어줄게요

어떤 이유로 만나
나와 사랑을 하고
어떤 이유로 내게 와
함께 있어준 당신

부디 행복한 날도
살다 지치는 날도
모두 그대의 곁에 내가
있어줄 수 있길

네 번의 모든 계절들과
열두 달의 시간을 너와
숨이 차게 매일
사랑하며 함께 할게

어떤 이유로 만나
우리 사랑을 했던
지금 이 순간처럼
매일 바라보며
애써주기를

부디 행복한 날도
살다 지치는 날도
모두 그대의 곁에 내가
있어줄 수 있길

부디
추억만 남지 않길 너완"
20,서면역에서,순순희,"살이 좀 빠졌어요
새 일도 시작하고
음 그랬어요
바쁘게 지냈어요
술은 좀 는 것 같아
나쁘진 않아
계절이 바뀔 때 쯤 한번씩
가슴이 먹먹해 혼자 이 길을 걸었어요
서면역에서
술 한잔 했어요
우리의 추억이 가득한
지하상가 거리도
전포카페 골목도 그대론데
그냥 한번 전화해봤어요
미안해 하지 말아줘
잘 지내고 있어요 걱정하지 말아요
그대 나는 괜찮아
우리가 처음 만난 그 날도
비가 내렸어
그 때 그 날 밤을 기억해요
서면역에서
술 한잔 했어요
우리의 추억이 가득한
지하상가 거리도
전포카페 골목도 그대론데
그냥 한번 전화해봤어요
미안해 하지 말아줘
잘 지내고 있어요 걱정하지 말아요
그대 나는 괜찮아
아주 많이 잊지는 말아줘요
한땐 좋았었잖아 예뻤던 우리들
서면역에서 술 한잔 어때요
그대도 가끔 내 생각 하나요
우리의 추억이 가득한
떠나버린 시간은 담을 수가 없는 걸
잘아는데
그냥 한번 전화해봤어요
미안해 하지 말아줘
잘 지내고 있어요 걱정하지 말아요
그대 나는 괜찮아"
21,술 한잔 해요,"경서 (경서예지), MJ (써니사이드)","술 한잔해요 날씨가 쌀쌀하니까
따끈따끈 국물에
소주 한잔 어때요
잘 지내니 지친 하루에 끝에
위로가 돼주던 한 사람
사실 가끔씩 네 소식을
찾아보곤 해 먹먹해진 기분
술잔 속에 너를 가득 채워
그리움을 넘기네
보이지 않던 것들 보여
여전히 아쉬움 들만
달콤했던 말 행복 섞인 표정까지도
괜찮다면 나와요
우리의 사랑이 뜨겁던 우리의 사랑을
키웠던 그 집에서 먼저 한잔했어요
조금 취했나 봐요
그대가 내 앞에 있는 것 같아
바보처럼 자꾸 눈물이 나요
그대 마음이 차갑게 식어 갔듯이
따뜻했던 국물도 점점 식어가네요
가볍던 주머니 날 감싸주던 손 길
하필 이제서야 생각이 나
우리 함께 자주 가던
사거리 앞 작은 술집
마주 앉은 애틋한 밤
술잔 속에 너를 가득 채워
그리움을 넘기네
비틀거리는 하루 매섭게
더 차가운 날씨
전화라도 해볼까
보고 싶어 누르지 못했지만
괜찮다면 나와요
우리의 사랑이 뜨겁던 우리의 사랑을
키웠던 그 집에서 먼저 한잔했어요
조금 취했나 봐요
그대가 내 앞에 있는 것 같아
바보처럼 자꾸 눈물이 나요
술잔 속에 눈물이 마음속에
그대가 흘러넘치잖아
몇 잔을 마셔도
너를 너를 잊지 못할 걸 알아
쓰디쓴 술잔에 기대면 네가 보였어
이 한 잔에도 금세 붉어 지던 두 볼
따스함이었어 너라는 계절은
늦게라도 와줘요
나 혼자 이렇게 울게 하지 마
우린 항상 같이 있었으니까
사랑해요 사랑해요
사랑하기 싫어서 미치겠어"
22,되풀이,임창정,"멀어질 수 있을까
너무 위험한 내게서
멀리 떠나보내야 할 텐데
뻔한 일이 될 걸 알기에
널 이대로 놔둘 수가 없어서
어떤 거짓말이라도 해야 했어
제발 이곳을 벗어나
상관없는 사람처럼
다시 우리 마주쳐도 아니
마주쳐서는 안돼
끝내 약속을 지켜주지도 못한 내게
넌 자꾸 사랑한다는 말만 되풀이해
그래도 괜찮다고 그래도 된다고
매일 너를 버렸던 나에게
낯선 이곳에 너와 나
처음부터 있던 걸까
이게 그 운명이라도
제발 아니라고 말해줘
끝내 약속을 지켜주지도 못한 내게
넌 자꾸 사랑한다는 말만 되풀이해
그래도 괜찮다고 그래도 된다고
매일 너의 눈물인 나에게
변하는 사람은 오직 나뿐인가
모두 그렇게 그 자린데
넌 자꾸 사랑한단 그 말만 되풀이해
그저 곁에 있겠다고 그래야 한다고
매일 너의 눈물인 나에게
매일 너를 버렸던 나에게"
