Category,label_new,lable_detail,Question,Context,Answer,
2,5, Stocks,Why are Central Banks cutting interest rates in response to COVID-19?,"In the current climate of coronavirus economic meltdown, the lowered interest rate has a further goal: to help protect US corporations who are now overstretched on corporate bonds. The reduced interest rate in combo with new funds, is designed to prop up the stock market and corporations to prevent socioeconomic collapse. I'm firmly of the mind the small business loan piece of Senate stimulus package is far and away the most important given what's happening right now. This was the most commonly asked question. The CARES Act not only provides relief for small business owners through loans but also allows the self-employed, independent contractors and part-time workers to collect unemployment benefits. Refinance own mortgage could be a good idea, but lenders are overwhelmed right now, so expect the process of shopping and closing to take time. When mortgage rates fall to record lows, as we’ve seen in recent weeks, refinancing can be a good way to save some extra cash. Recently, travel, leisure, airline and cruise stocks have been punished by the coronavirus outbreak.  We've seen this before though not for the same reason  when after  9/11, insurance and airlines stocks were hammered.  Just be  aware that you have no way of knowing. The remaining 12 months keep it safe in a bank or CD. Because you already have an emergency fund, and you believe your job is secure. Pay them off as quickly as safely possible. Since you have high-interest debt, getting rid of that debt is more important than maintaining a large emergency fund. Having both savings and overdraft fees is illogical
Depending on the exact neighborhood and local market, there is no guarantee that a recession will even affect the chosen neighborhood. Typically, insurance companies will cover disrupted or canceled trips (only under very specific circumstances). If they do that you will likely be able to  avoid paying the change fee. The very means of controlling the health crisis — keeping workers home, limiting travel and disrupting commerce — risk making the economic crisis worse. On March 27, Congress [passed a $2 trillion rescue package] the largest economic stimulus measure in modern history, to help the people, businesses and industries affected by the coronavirus outbreak. In its sheer scope and size, the aid plan is unprecedented and touches on every facet of American life.  Its components include stimulus payments to individuals, expanded unemployment coverage that includes the self-employed, student loan changes and much more. The steps taken to contain the outbreak, such as locking down areas and shutting down traffic flows, have shut down businesses and forced consumers to stay home. Many people have lost their jobs and their incomes, further reducing consumer spending, which makes up 60 per cent of the China economy and 70 per cent of that in the West. The International Monetary Fund has said that it expects a global recession this year. The stimulus package expands unemployment insurance benefits. There is no longer doubt that the longest global expansion on record will end this quarter. We now think that the COVID-19 shock will produce a global recession, as nearly all of the world contracts over the three months between February and April.Paying wages to temporarily unemployed is not financed through printing new money it should not really have effect on inflation. Inflation is ultimately a monetary phenomenon. we do not know how strong activity restrictions have to be to control the epidemic. The next leg of uncertainty is the government response.",to prevent socioeconomic collapse,
2,6, Making Money,Is there help for small businesses in the Senate stimulus package?,,far and away,
2,6, Making Money,Can I get these loans and unemployment?,,"allows the self-employed, independent contractors and part-time workers to collect unemployment benefits",
2,6, Making Money,Should I refinance my mortgage?,,refinancing can be a good way to save some extra cash,
2,6, Making Money,Would investing in an airline be a good idea due to Coronavirus?,,you have no way of knowing,
2,6, Making Money,Better way to invest for a short time for a period of one year,,The remaining 12 months keep it safe in a bank or CD,
2,6, Making Money,"How, or should I repay debt during Covid-19 crisis?",,Pay them off as quickly as safely possible,
2,6, Making Money,Should I ask the seller of a house for a price reduction given a recession is almost certain?,,there is no guarantee that a recession will even affect the chosen neighborhood,
2,8, General,What about travel insurance?,, insurance companies will cover disrupted or canceled trips[ only under very specific circumstances],
2,8, General,Canceling United Flight - Credit Policy,,be able to (at least) avoid paying the change fee,
2,8, General,Help me understand the economic fallout.,,"keeping workers home, limiting travel and disrupting commerce",
2,8, General,What is the U.S. government doing to help the economy?,,"stimulus payments to individuals, expanded unemployment coverage that includes the self-employed, student loan changes and much more",
2,8, General,What has been the impact on the Chinese and global economies?,,"Many people have lost their jobs and their incomes, further reducing consumer spending",
2,8, General,Will coronavirus cause a global recession in 2020?,,The International Monetary Fund has said that it expects a global recession this year,
2,8, General,Is it true that everyone who is on unemployment due to COVID-19 will receive an additional $600 a week as part of the stimulus package?,,The stimulus package expands unemployment insurance benefits,
2,8, General,The Economics of Coronavirus,,COVID-19 shock will produce a global recession,
2,8, General,Won’t paying wages to temporarily unemployed due to Coronavirus result in inflation?,,it should not really have effect on inflation,
2,8, General,How likely is a total economic collapse due to the potential coronavirus impact?,,we do not know how strong activity restrictions have to be to control the epidemic,
3,9, Possibility of both Flu and COVID,"Can you contract two viruses at the same time, such as new coronavirus and the flu?","While it’s still unclear if someone can contract the new coronavirus more than once, it is possible to have more than one different virus at the same time. Dr. Isaac Bogoch said it’s absolutely possible for someone to have COVID-19 and a strain of the flu or another virus simultaneously. This was the case for one patient in China, according to the U.S. Centers for Disease Control and Prevention. The 69-year-old man in Wuhan had both SARS-CoV-2 and influenza A virus. Doctors initially diagnosed the man with the flu and later diagnosed the coronavirus. The main things to monitor in new/stray cats are appetite, vomition, lethargy, runny poops, struggling or inability to urinate and breathing and eye problems. The most common symptoms of coronavirus are fever, sore throat, dry cough and fatigue. Other symptoms can also include headaches, nasal congestion or a runny nose. In most cases where symptoms present, those symptoms come together. While fever is one of the most common symptoms, it's not productive to take your temperature every day. The “incubation period” means the time between catching the virus and beginning to have symptoms of the disease. Most estimates of the incubation period for COVID-19 range from 1-14 days, most commonly around five days. It may be possible that a person can get COVID-19 by touching a surface or object that has the virus on it and then touching their own mouth, nose, or possibly their eyes, but this is not thought to be the main way the virus spreads. In some cases, the virus ultimately damages tiny air sacs in the lungs,restricting oxygen to the bloodstream and depriving other major organs –including the liver, kidney and brain – of oxygen. Covid-19 viruses can’t die, for the simple reason that they aren’t alive in the first place. Although they contain genetic instructions in the form of DNA, viruses can’t thrive independently. A subsequent study found that a 14-year-old boy who is youngest from China died in February after contracting the coronavirus. It’s easy for asymptomatic people to spread coronavirus. When you speak, sometimes you’ll spit a little bit. Data to date suggest that 80% of infections are mild or asymptomatic, 15% are severe infection, requiring oxygen and 5% are critical infections, requiring ventilation. The vast majority of people with coronavirus survive. The director of the National Institute of Allergy and Infectious Diseases has estimated the death rate is “about 2%.”. An antiviral drug must be able to target the specific part of a virus’s life cycle that is necessary for it to reproduce. And viruses are highly adaptive. So A cure take so long.",it’s absolutely possible ,
3,9, Possibility of both Flu and COVID,"If a person tests positive for influenza, they are not tested for coronavirus. Could a person have both?",,the case for one patient in China,
3,9, Possibility of both Flu and COVID,What illnesses/symptoms should I look for with a new cat?,,"appetite, vomition, lethargy, runny poops, struggling or inability to urinate and breathing and eye problems",
3,10, Incubation Period,Is the presence of a fever always the first symptom of a coronavirus infection? Is there any value in taking your temperature every day?,,it's not productive to take your temperature every day,
3,10, Incubation Period,How long is the incubation period for COVID-19?,,1-14 days,
3,11, Effects on Body,How do I know if I have coronavirus?,,"fever, sore throat, dry cough and fatigue",
3,11, Effects on Body,Can coronavirus go through skin and into the body?,,can get COVID-19 by touching a surface or object,
3,11, Effects on Body,What are the symptoms?,,"fever, sore throat, dry cough and fatigue",
3,11, Effects on Body,What are the symptoms of the coronavirus?,,"fever, sore throat, dry cough and fatigue",
3,11, Effects on Body,Do the symptoms for COVID-19 come together or can you have separate symptoms showing up at different times?,,those symptoms come together,
3,12, Cause of Death,How do you actually die from the coronavirus? What happens?,,tiny air sacs in the lungs,
3,12, Cause of Death,What happens to viruses that causes them to die?,,viruses can’t die,
3,12, Cause of Death,How old was the youngest person to die from the virus?,,14-year-old boy,
3,13, Asymptomatic,"How can someone spread coronavirus when asymptomatic? If they’re not sneezing or coughing, how can they infect others?",,"When you speak, sometimes you’ll spit a little bit",
3,13, Asymptomatic,Is there an estimate of how many people infected with SARS-CoV-2 are asymptomatic?,,80%,
3,14, Ability to Recover,"If infected with coronavirus, can you survive it and recover?",,The vast majority of people with coronavirus survive,
3,14, Ability to Recover,Why is a cure taking so long?,, viruses are highly adaptive,
4,15, Someone in the Household Infected,My ex and I have joint custody of our kids. Is it safe for them to go between two homes?,"if parents wanted to formally modify pre-existing custody agreements, they can’t. But some states may be offering some flexibility during the pandemic. And there may be creative solutions, such as spending more time with one parent now in exchange for extra time with the other parent after the pandemic ends. Older people seem to be particularly susceptible to contracting the coronavirus, according to health officials. One way to check on homebound older residents without jeopardizing their health is to call or send a text. For people living in households with multiple residents, it may be difficult to avoid infecting each other. It’s extremely important to call the local public health hotline to discuss the exact situation so they can give you very specific recommendations based on your unique setting. Coronavirus isn’t just infecting young people. It’s killing young, healthy people as well.  We’ve reported many stories about young people getting severely sick with or dying from coronavirus. 

While specific guidelines vary from city to city, the Centers for Disease Control and Prevention (CDC) has advised that Americans practice social distancing, and stay home, avoid mass gatherings and maintain 6 feet between themselves and others whenever possible. These efforts are intended to help ""flatten the curve,"" which means distributing the number of coronavirus cases over a longer period of time, to avoid overwhelming the health care system. Staying home prevents you from transmitting the virus to others. Quarantined at home because of COVID19, you can try to fill the gaps in your knowledge and skills. Learning something new. In case you can still move freely in your neighborhood. 

If you want to ease your anxiety about Covid-19, practice self-care whether that means doing an at-home workout, baking, maintaining a regular religious practice or journaling. Focusing on these things can help bring some peace of mind. If your anxiety is debilitating, seek out a mental health professional or other clinical mental health services. If you want to make working at home easier, Keep the same schedule. To deal with grief during pandemic time, Ms. Gottlieb recommends staying in the present as much as possible, versus thinking about the future or ruminating on things that haven’t happened yet. 

isolate when:  • they have had no fever for at least a full 72 hours without the use of medicine and  • other symptoms have gotten better and  • at least seven days have passed since their symptoms first started.In March, as more and more governments around the world hoped to slow the spread of the coronavirus, they began to impose travel restrictions. You have travelled in from overseas where there is community transmission so the possibility is much higher that you have been infected. The situation is fluid and rapidly evolving, so you should check the State Department's website often  before decision about trip. Many airlines, including Delta, United and American, are loosening their booking policies and suspending cancellation or rescheduling fees. Under EU rules you always get a refund. The extraordinary circumstances only mean that they don't have to pay any additional compensation. However, you must still be given the option of a refund, though one can accept rerouting or rebooking. Airlines are required to refund you within 7 days. ",offering some flexibility during the pandemic,
4,15, Someone in the Household Infected,I have older neighbors. How can I help them?,,to call or send a text,
4,15, Someone in the Household Infected,"If you have been in isolation because one person in your household is sick, do you have to continue to stay home for another two weeks if another person falls ill?",,to call the local public health hotline to discuss the exact situation ,
4,16, Lack of Seriousness,My teenagers aren’t taking this seriously. Any advice?,,killing young,
4,17, How to Spend Time,I live in the United States. What should I do?,,"social distancing, and stay home, avoid mass gatherings and maintain 6 feet between themselves",
4,17, How to Spend Time,Why do I have to stay at home?,,prevents you from transmitting the virus to others,
4,17, How to Spend Time,Quarantined at home because of COVID19 - how can I do engineering research productively?,,fill the gaps in your knowledge and skills,
4,17, How to Spend Time,What are my photography options if I cannot travel or I'm forced to stay at home?,,you can still move freely in your neighborhood,
4,18, Dealing with Stress,What can I do to ease my anxiety about this?,,Practice self-care,
4,18, Dealing with Stress,How do I make working at home easier? __,,Keep the same schedule,
4,18, Dealing with Stress,How can I deal with grief during this time?,,staying in the present as much as possible,
4,18, Dealing with Stress,"I had the coronavirus, or probably did, and I feel fine now. Can I go about my life?",,they no longer need to self-isolate when:  • they have had no fever for at least a full 72 hours without the use of medicine and  • other symptoms have gotten better and  • at least seven days have passed since their symptoms first started,
4,19, Change in Plans,Self quarantine for travel in Europe?,,much higher that you have been infected,
4,19, Change in Plans,Should I cancel my upcoming trip to Europe or Asia?,,you should check the State Department's website often,
4,19, Change in Plans,Can I still travel?,,"The situation is fluid and rapidly evolving, so you should check the State Department's website often and use that information to inform your decisions.",
4,19, Change in Plans,"If I cancel my flight, will I get my money back?",,loosening their booking policies and suspending cancellation or rescheduling fees,
4,19, Change in Plans,May I get a refund for a flight cancelled because of COVID-19?,,always get a refund,
4,19, Change in Plans,COVID-19 - should I cancel our trip to Japan?,,you should check the State Department's website often,
4,19, Change in Plans,Can I get a refund for COVID-19 related cancellations?,,always get a refund,
5,20, Reason for Name,Where does the name coronavirus come from?,"Coronavirus is a type of virus that causes disease in animals. Often the symptoms of the virus are those of the common cold. COVID-19 is a strain of coronavirus that is new to humans, hence it's called a novel virus. The coronavirus looks like a ball covered with spikes. Its outline is almost like a crown. That’s how coronavirus got its name, because “corona” is Latin for crown. The World Health organization known as WHO defines a pandemic as ""the worldwide spread of a new disease,"" and on March 11, the WHO's director general announced that COVID-19 met those criteria. WHO are deeply concerned both by the alarming levels of spread and severity and by the alarming levels of inaction. WHO have therefore made the assessment that COVID-19 can be characterised as a pandemic. In February, the WHO gave official names to both this virus (SARS-CoV-2, for severe acute respiratory syndrome coronavirus 2) and the disease it causes (Covid-19, for coronavirus disease 2019). The first identified cases of Covid-19 occurred in Wuhan China, but this does not imply that people of Chinese descent are vectors for the disease, or in any way responsible for the problems that the disease causes. Trump's very public insistence on calling this the 'Chinese virus', backed by his status as president, is guaranteed to significantly increase acts of discrimination and assault on people of Asian descent. Coronavirus was distinguished through epidemiological investigation. When medical professionals notice that a group of people with some characteristic in common, are being seen for a similar disease, they ask if there's a connection. Viruses are named based on their genetic structure to facilitate the development of diagnostic tests, vaccines and medicines. Virologists and the wider scientific community do this work, so viruses are named by the International Committee on Taxonomy of Viruses (ICTV). Diseases are named to enable discussion on disease prevention, spread, transmissibility, severity and treatment. We can see that the terms 'Wuhan Virus' &amp; 'Wuhan Coronavirus' both had widespread use in English language media from the end of January up until the WHO named the disease on February 11th. The usage was comparable to the usage of the terms 'China Virus', and less commonly, 'Chinese Coronavirus'. Given a broad definition like this one, you could make a case that this is already a pandemic: COVID-19 is found on all richly inhabited continents and is continuing to spread.",outline is almost like a crown,
5,20, Reason for Name,Why is it called the coronavirus? __,,"Covid-19, for coronavirus disease 2019",
5,20, Reason for Name,"Why is Trump dubbing COVID-19 as the ""Chinese virus"" considered offensive, while many past epidemics have had similar naming schemes?",,occurred in Wuhan China,
5,20, Reason for Name,"How much of the US media referred to the COVID-19 as the ""Wuhan Virus"" until it received an official designation from the WHO?",,widespread use,"
"
5,20, Reason for Name,Who came up with the SARS-CoV-2 name?,,International Committee on Taxonomy of Viruses (ICTV),
5,21, Pandemic Definition,Is the outbreak a pandemic?,,"The World Health organization defines a pandemic as ""the worldwide spread of a new disease,""",
5,21, Pandemic Definition,Is Coronavirus (Covid-19) considered a pandemic?,,this is already a pandemic: COVID-19,
5,21, Pandemic Definition,What is the significance of the WHO characterising Covid-19 as a pandemic?,,alarming levels of spread and severity,
5,22, Biological Profile,What Is A Coronavirus?,,a type of virus that causes disease in animals,
5,22, Biological Profile,What is Coronavirus?,,a type of virus that causes disease in animals,
5,22, Biological Profile,What Is COVID-19?,,a strain of coronavirus that is new to humans,
5,22, Biological Profile,how the coronavirus was distinguished?,,epidemiological investigation,
6,23, Mutation,Can Coronaviridae mutate into something as dangerous as Flioviridae?,"Possibility of coronaviridae mutate into something is plausible that Covid-19 could obtain mutations which allow it to transfer more quickly between humans. Mutations/replication errors/whatever will happen in the creation of new virus particles within a host cell. There is some distribution of number of mutational events that will occur as a function of the number of new RNA molecules created per cell and the replication error rate. Among all those viruses which continue successfully infecting throughout the course of a year, on average we observe 24 substitution mutations in the genome over the course of that year. Every transmission chain included in the group of viruses at the end of the year must have remained viable for infection of hosts. In other words, it has survived natural selection. Mutations are mostly deleterious to begin with. This means that mutant copies of virus only very rarely survive and proliferate. A virus that is deadlier will already be less likely to reproduce, having killed more hosts. There has been at least one phylogenetic study of 48 near complete samples of the SARS-CoV-2 virus. 2019-nCoV also has enveloped virions that measure approximately 50–200 nm in diameter with a single positive-sense RNA genome.",plausible,
6,23, Mutation,Viral mutation rates and replication,, 24 substitution mutations in the genome over the course of that year,
6,23, Mutation,Is Covid-19 likely to mutate into a deadlier form?,,already be less likely to reproduce,
6,23, Mutation,How mutable is COVID-19?,,at least one phylogenetic study of 48 near complete samples,
6,24, Covid Looks Like,"COVID-19: size, real image",,approximately 50–200 nm in diameter with a single positive-sense RNA genome,
7,25, Conspiracy,Is it possible for coronavirus or SARS to be synthetic?,"The scenarios which is possible for coronavirus or SARS to be synthetic are impossible and would be laughable if they were not so serious. The evidence is in the phylogenetic trees. Coronaviruses are a relatively broad family of viruses named for the spikes that come out of a virus particle. Under a microscope, they look like a crown, or a halo — like the sun’s corona. The current coronavirus first emerged from Wuhan, in China’s Hubei Province, most likely from a fish and animal market where humans routinely come into direct contact with animals. The virus probably jumped from an animal — we still don’t know for sure what species — to a human, a process of interspecies transmission called zoonosis. Bats are reservoirs of many important human pathogens, some are emerging infections (e.g., 2019-NCoV, the coronavirus in the news recently), and some are not. Contact between humans and bats is certainly not a new phenomena, but there is more required for an emerging infection than a reservoir and a new host. There must be some bridge that allows a virus to cross a previously effective species barrier. Both host and coronavirus tend to evolve to a point where the immune system wins most, but not all of the time. In conclusion, we don't really need to look for special properties of bats to explain their tolerance of coronaviruses, even though, as iayork points out, there are reasons to expect bats might be more resistant. The preponderance of links between bat and human pathogens has led to a debate about whether bats disproportionately contribute to emerging viral infections crossing the species barrier into humans. In fact, why bats are such a frequent source of pathogenic human viruses remains a tantalizing mystery.
There are a few major points taken up by conspiracy theories. 
1. SARS-CoV-2 leaked from a lab, in which research on the Bat CoV (RaTG13) was done.
2. The S (spike) protein from bat SARS-CoV cannot be used to enter human cells via the human ACE2 receptor and therefore has been adapted in the lab.
3. The spike protein of SARS-CoV contains a unique inserted sequence (1378 bp) located in the middle of its spike glycoprotein gene that had no match in other coronaviruses.
4. The claim that SARS-CoV-2 contains four insertions from HIV-1.
5. The claim that the SARS-CoV-2 virus is completely man-made.",impossible ,
7,25, Conspiracy,What's the evidence against SARS-CoV-2 being engineered by humans?,,conspiracy theories,
7,26, General,How did coronavirus start?,,a fish and animal market where humans routinely come into direct contact with animal,
7,26, General,How did coronavirus start?,,a fish and animal market where humans routinely come into direct contact with animal,
7,26, General,What is this thing?,,Severe Acute Respiratory Syndrome coronavirus 2,
7,27, Source Animal,"Coronavirus origin could be bat, why this happen while people have been eating bats for centuries?",,reservoirs of many important human pathogens,
7,27, Source Animal,How do bats survive their own coronaviruses?,, bats might be more resistant,
7,27, Source Animal,Why are bats the source of dangerous coronavirus pandemics?,,a tantalizing mystery,
8,28, Alternative Disinfection,Can the heat from a hand dryer kill coronavirus?,"To date, there is no vaccine and no specific antiviral medicine to prevent or treat COVID-2019. Study on MERS coronavirus and HCoV-229E: ""rapidly lost most of the infectivity in fasted-state simulated gastric fluid (FaSSGF; pH 2.0)"" but ""survived FeSSGF"" (fed state, which is less acidic). Hand dryers can’t kill coronavirus, according to WHO. Drinking hot water or taking hot baths won’t kill it, either. If you consume a lot of alcohol, it can make you drowsy and can compromise your immunity. Experts say that this might make you aspirate and that will make you susceptible to viruses. FSIS Cleaning Regulations 5 Steps of cleaning and disinfection. So partly this depends on how sanitized you want things to be.  For my part, I just clean my counters with a mixture of Simple Green (a concentrated organic soap) and water.  If you're really concerned, you could do a second washing with a weak bleach solution. Cleaning should precede disinfection. Disinfection is biocidal elimination on fomite surfaces of microorganisms, in this instance SARS-CoV-2. After applying disinfecting dilution be sure to allow it adequate action time and then allow surface to air dry. When CDC says to use “5 tablespoons (aka 1/3 cup) bleach per gallon of water”. Now, the CDC “recommends wearing cloth face coverings in public settings where other social distancing measures are difficult to maintain.”  The public should NOT buy surgical masks or N95 respirator masks. Instead, make your own cloth mask. US Surgeon General Jerome Adams shows how to make face masks with just a T-shirt and rubber bands in this CDC video. The main benefit of wearing masks in public isn’t to protect you from getting sick. As Covid-19 is spread through droplets, it can reach us through the air. Therefore, maintain social distancing, which means remaining 6 feet away from others.  Ideally, you shouldn't touch any surface on which droplets may have landed. The best way to protect yourself from exposed surfaces is to wash your hands frequently with soap and water for a count of 20. Self-isolate  only applies to those who have recently come back from overseas, or if you've been in contact with someone who tested positive for COVID-19. But if you are one of those people who has to self-isolate, it means that you should avoid all other public gatherings. The No 1 thing you can do to protect yourself from coronavirus infection is to wash your hands, often and thoroughly.And avoid big gatherings. If you rely on public transportation, use caution. If you’re sick or live in an area where an outbreak has been reported, avoid it. Mass transit could increase your risk of exposure to coronavirus. If you can, you should stay home from work when you’re sick, whether or not you have coronavirus. Many companies are increasingly flexible with work from home policies. If your company is allowing employees to work from home, consider it. Spain itself does not seem particularly risky, it's not the country most impacted in Europe. If you want to safely take care of someone who's sick, Asking the sick person to wear a face mask. If the mask causes breathing difficulties, then the caretaker should wear a mask instead. If your child is worried about the coronavirus, listen to him or her, rather than respond with comments like, “It’ll be fine.” Dismissive reactions can make children feel like they’re not being heard. While there have been suggestions that a regular flu shot can help protect individuals against COVID-19, Bogoch said that’s not true.",can’t kill the virus,
8,28, Alternative Disinfection,Does drinking alcohol kill coronavirus?,,make you susceptible to viruses,
8,28, Alternative Disinfection,How to properly disinfect surfaces,,mixture of Simple Green (a concentrated organic soap) and water,
8,28, Alternative Disinfection,Ratio of bleach to water required to disinfect COVID-19?,,5 tablespoons (aka 1/3 cup) bleach per gallon of water,
8,29, Facemask,Can stomach acid destroy a virus?,,,
8,29, Facemask,"Should I wear a face mask in public? If so, how do I make one?",,make face masks with just a T-shirt and rubber bands in this CDC video,
8,29, Facemask,Should people be wearing masks in public?,,recommends wearing cloth face coverings in public settings,
8,30, General,How to protect yourself from Covid-19,,maintain social distancing,
8,30, General,What are the rules of self-isolation?,,avoid all other public gatherings,
8,30, General,What can you do to protect yourself?,,wash your hands,
8,31, Going Outside,Is traveling to Spain safe during the COVID-19 outbreak?,,not seem particularly risky,
8,31, Going Outside,Should I avoid big gatherings like parties or weddings?,,Avoid big gatherings,
8,31, Going Outside,Should I avoid public transportation?,,use caution,
8,31, Going Outside,Should I go to work?,,"If your company is allowing employees to work from home, consider it",
8,32, Hand Sanitizer,Is the washing hands in order to protect yourself from COVID-19 backed up by research?,,The No 1 thing you can do to protect yourself from coronavirus infectio,
8,33, Household Preparation,How do I safely take care of someone who’s sick?,,Asking the sick person to wear a face mask,
8,33, Household Preparation,My kids are scared. What can I tell them?,,listen to him or her,
8,34, Vaccine,"Do previous immunizations, such as the flu shot, help protect against COVID-19?",,that’s not true,
8,34, Vaccine,"Is there a vaccine, drug or treatment for COVID-19?",,no vaccine and no specific antiviral medicine,
9,35, Accuracy,Prediction model for spread of coronavirus,"The original R0 calculation was developed in the early 1900s to model malaria transmission and is known as the Ross-MacDonald model so your idea is over 100 years old. One thing R0 of COVID-19 will identify is the latent period transmission which occurs before the symptoms, i.e. the incubation period. Essentially, people with cough/mild symptoms before they self isolate and become really ill with a lung infection will transmit the virus. In this context R0 will be/was very influential for understanding when to move between quarantine and containment phases of the pandemic. The World Health Organization (WHO) has reported at least 81,191 cases of coronavirus as of Wednesday morning. Of the 81,191 confirmed cases, 2,768 people have died, a mortality rate of about 3 percent.  It's people that are already seriously ill or already have weak immune systems that are most likely to die soon after contracting Covid-19.  And it's when people are clustered in a close community that they are most likely to contract the disease. Ages range of U.S. deaths from COVID-19 from an infant less than one year old to people intheir 90s, according to state and local health departments. When people talk about the mortality rate of a disease, what they usually mean is the case fatality rate or the death-to-case ratio, which is simply defined as Nd /  Ni, where  Nd is the number of deaths attributed to the disease over a given time period and Ni is the total number of new cases of the disease observed during the same time period.  By this definition, the current case fatality rate of 2019-nCov according to your quoted figures is 362 / 17491 ≈ 2.07%. If you want to forecast COVID19 through package R, you can force ets() to use a model with multiplicative trend (and multiplicative error) by using the parameter model=""MMN"". The main comprehensive public dataset we have available for the COVID-19 virus is the data held and updated by the John Hopkins Coronavirus Resource Centre at John Hopkins University.  This is the repository of data that is being used for the vast majority of media reports and data visualisations on the spread of COVID-19.  The database has data on confirmed infections, recoveries, and deaths, plus GIS data on where these occurred.  The data is sourced from the WHO and various national health departments, and it is being updated frequently. Google has published statistics that is compare between US regions the degree of social distancing as a function of the outbreak severity at a per-state level for the United States. ",R0 calculation,
9,35, Accuracy,Detailed description/scripts of mathematical models for Coronavirus,,R0 calculation,
9,35, Accuracy,Choosing the right forecast model for exponential data (COVID19) forecast package R,, ets() ,
9,36, Deaths,How many people are infected?,,"at least 81,191 ",
9,36, Deaths,How deadly is the virus?,,about 3 percent,
9,36, Deaths,Are countries with lower life expectancy expected to have lower death rates due to Coronavirus?,,they are most likely to contract the disease,
9,36, Deaths,What is the age range of U.S. deaths from COVID-19?,,from an infant less than one year old to people intheir 90s,
9,36, Deaths,Does COVID-19 have a case fatality rate of 41%? Is this formula correct?,,362 / 17491 ≈ 2.07%,
9,36, Deaths,Recent mortality,,about 3 percent,
9,37, Situation,Can stats regarding the Coronavirus outbreak tell us anything at all?,,"confirmed infections, recoveries, and deaths, plus GIS data on where these occurred",
9,37, Situation,Is there data comparing between US regions the degree of social distancing as a function of the outbreak severity?,,Google,
