Questions,Context
did covid exist years before scientists discovered it,"As COVID-19 has hitchhiked around the globe, causing lockdowns, pneumonia and fear, scientists have been racing to determine where the SARS-CoV-2 coronavirus has come from.

While we don't have all the answers yet - including whether it came from an animal reservoir - a new analysis has definitively put to rest the conspiracies that claim it's a lab-made disease. 
The study raises some interesting possibilities regarding the origin of the new coronavirus. One of the scenarios suggests the virus may have been circulating harmlessly in human populations for quite a while before it became the pandemic that's now stopped the world in its tracks."
has covid always existed,"As COVID-19 has hitchhiked around the globe, causing lockdowns, pneumonia and fear, scientists have been racing to determine where the SARS-CoV-2 coronavirus has come from.

While we don't have all the answers yet - including whether it came from an animal reservoir - a new analysis has definitively put to rest the conspiracies that claim it's a lab-made disease. 
The study raises some interesting possibilities regarding the origin of the new coronavirus. One of the scenarios suggests the virus may have been circulating harmlessly in human populations for quite a while before it became the pandemic that's now stopped the world in its tracks."
has covid been around for a while,"As COVID-19 has hitchhiked around the globe, causing lockdowns, pneumonia and fear, scientists have been racing to determine where the SARS-CoV-2 coronavirus has come from.

While we don't have all the answers yet - including whether it came from an animal reservoir - a new analysis has definitively put to rest the conspiracies that claim it's a lab-made disease. 
The study raises some interesting possibilities regarding the origin of the new coronavirus. One of the scenarios suggests the virus may have been circulating harmlessly in human populations for quite a while before it became the pandemic that's now stopped the world in its tracks."
has covid been around longer,"As COVID-19 has hitchhiked around the globe, causing lockdowns, pneumonia and fear, scientists have been racing to determine where the SARS-CoV-2 coronavirus has come from.

While we don't have all the answers yet - including whether it came from an animal reservoir - a new analysis has definitively put to rest the conspiracies that claim it's a lab-made disease. 
The study raises some interesting possibilities regarding the origin of the new coronavirus. One of the scenarios suggests the virus may have been circulating harmlessly in human populations for quite a while before it became the pandemic that's now stopped the world in its tracks."
has covid been in humans for years,"As COVID-19 has hitchhiked around the globe, causing lockdowns, pneumonia and fear, scientists have been racing to determine where the SARS-CoV-2 coronavirus has come from.

While we don't have all the answers yet - including whether it came from an animal reservoir - a new analysis has definitively put to rest the conspiracies that claim it's a lab-made disease. 
The study raises some interesting possibilities regarding the origin of the new coronavirus. One of the scenarios suggests the virus may have been circulating harmlessly in human populations for quite a while before it became the pandemic that's now stopped the world in its tracks."
how does covid vary from covid18 or covid17,"As COVID-19 has hitchhiked around the globe, causing lockdowns, pneumonia and fear, scientists have been racing to determine where the SARS-CoV-2 coronavirus has come from.

While we don't have all the answers yet - including whether it came from an animal reservoir - a new analysis has definitively put to rest the conspiracies that claim it's a lab-made disease. 
The study raises some interesting possibilities regarding the origin of the new coronavirus. One of the scenarios suggests the virus may have been circulating harmlessly in human populations for quite a while before it became the pandemic that's now stopped the world in its tracks."
how long has covid existed,"As COVID-19 has hitchhiked around the globe, causing lockdowns, pneumonia and fear, scientists have been racing to determine where the SARS-CoV-2 coronavirus has come from.

While we don't have all the answers yet - including whether it came from an animal reservoir - a new analysis has definitively put to rest the conspiracies that claim it's a lab-made disease. 
The study raises some interesting possibilities regarding the origin of the new coronavirus. One of the scenarios suggests the virus may have been circulating harmlessly in human populations for quite a while before it became the pandemic that's now stopped the world in its tracks."
was covid preceded by covid 18,"As COVID-19 has hitchhiked around the globe, causing lockdowns, pneumonia and fear, scientists have been racing to determine where the SARS-CoV-2 coronavirus has come from.

While we don't have all the answers yet - including whether it came from an animal reservoir - a new analysis has definitively put to rest the conspiracies that claim it's a lab-made disease. 
The study raises some interesting possibilities regarding the origin of the new coronavirus. One of the scenarios suggests the virus may have been circulating harmlessly in human populations for quite a while before it became the pandemic that's now stopped the world in its tracks."
was there a covid 18,"As COVID-19 has hitchhiked around the globe, causing lockdowns, pneumonia and fear, scientists have been racing to determine where the SARS-CoV-2 coronavirus has come from.

While we don't have all the answers yet - including whether it came from an animal reservoir - a new analysis has definitively put to rest the conspiracies that claim it's a lab-made disease. 
The study raises some interesting possibilities regarding the origin of the new coronavirus. One of the scenarios suggests the virus may have been circulating harmlessly in human populations for quite a while before it became the pandemic that's now stopped the world in its tracks."
was there a covid 18 before covid,"As COVID-19 has hitchhiked around the globe, causing lockdowns, pneumonia and fear, scientists have been racing to determine where the SARS-CoV-2 coronavirus has come from.

While we don't have all the answers yet - including whether it came from an animal reservoir - a new analysis has definitively put to rest the conspiracies that claim it's a lab-made disease. 
The study raises some interesting possibilities regarding the origin of the new coronavirus. One of the scenarios suggests the virus may have been circulating harmlessly in human populations for quite a while before it became the pandemic that's now stopped the world in its tracks."
what covs were known to infect humans before december 2019,"As COVID-19 has hitchhiked around the globe, causing lockdowns, pneumonia and fear, scientists have been racing to determine where the SARS-CoV-2 coronavirus has come from.

While we don't have all the answers yet - including whether it came from an animal reservoir - a new analysis has definitively put to rest the conspiracies that claim it's a lab-made disease. 
The study raises some interesting possibilities regarding the origin of the new coronavirus. One of the scenarios suggests the virus may have been circulating harmlessly in human populations for quite a while before it became the pandemic that's now stopped the world in its tracks."
what happened to covid 1 18 and will there be a covid 20,"As COVID-19 has hitchhiked around the globe, causing lockdowns, pneumonia and fear, scientists have been racing to determine where the SARS-CoV-2 coronavirus has come from.

While we don't have all the answers yet - including whether it came from an animal reservoir - a new analysis has definitively put to rest the conspiracies that claim it's a lab-made disease. 
The study raises some interesting possibilities regarding the origin of the new coronavirus. One of the scenarios suggests the virus may have been circulating harmlessly in human populations for quite a while before it became the pandemic that's now stopped the world in its tracks."
are sars cov and covid related,"Stickier than SARS-1
The virus that causes COVID-19 is similar to SARS — in fact, it’s officially called SARS-CoV-2 — and it attaches to the same receptors as SARS-CoV-1, but it’s stickier, Buchmeier explains. That allows the virus to enter cells more quickly, get a firmer grasp and begin spreading more quickly throughout the body.

This virus also attacks the lower respiratory tract — the bronchial tubes and the lungs — where it can lead to pneumonia.

That triggers an inflammatory response as the body attempts to fight the invader. In some people — about 15% — this immune response starts a cyclical overreaction of the body’s immune system called a cytokine storm.

“Cytokine production is a normal immune response to try to kill the virus,” Forthal says. “Under normal circumstances, the response peaks early, clears the virus and helps produce antibodies and T cells specific for the virus. But in some COVID-19 patients, the cytokine response sticks around too long and too strongly.”

“You not only get severe damage to the lungs, which may or may not be directly attributable to the virus,” says Forthal. “But the cytokine storm also can contribute to coagulopathy [clot formation], kidney damage and heart damage.”

This is what’s causing some people to become severely ill or die, Forthal says. Researchers have seen other coronaviruses provoke similar cytokine overreactions."
how are covid and sars cov similar,"Stickier than SARS-1
The virus that causes COVID-19 is similar to SARS — in fact, it’s officially called SARS-CoV-2 — and it attaches to the same receptors as SARS-CoV-1, but it’s stickier, Buchmeier explains. That allows the virus to enter cells more quickly, get a firmer grasp and begin spreading more quickly throughout the body.

This virus also attacks the lower respiratory tract — the bronchial tubes and the lungs — where it can lead to pneumonia.

That triggers an inflammatory response as the body attempts to fight the invader. In some people — about 15% — this immune response starts a cyclical overreaction of the body’s immune system called a cytokine storm.

“Cytokine production is a normal immune response to try to kill the virus,” Forthal says. “Under normal circumstances, the response peaks early, clears the virus and helps produce antibodies and T cells specific for the virus. But in some COVID-19 patients, the cytokine response sticks around too long and too strongly.”

“You not only get severe damage to the lungs, which may or may not be directly attributable to the virus,” says Forthal. “But the cytokine storm also can contribute to coagulopathy [clot formation], kidney damage and heart damage.”

This is what’s causing some people to become severely ill or die, Forthal says. Researchers have seen other coronaviruses provoke similar cytokine overreactions."
how much similarity the covid genome sequence has with sars cov,"Stickier than SARS-1
The virus that causes COVID-19 is similar to SARS — in fact, it’s officially called SARS-CoV-2 — and it attaches to the same receptors as SARS-CoV-1, but it’s stickier, Buchmeier explains. That allows the virus to enter cells more quickly, get a firmer grasp and begin spreading more quickly throughout the body.

This virus also attacks the lower respiratory tract — the bronchial tubes and the lungs — where it can lead to pneumonia.

That triggers an inflammatory response as the body attempts to fight the invader. In some people — about 15% — this immune response starts a cyclical overreaction of the body’s immune system called a cytokine storm.

“Cytokine production is a normal immune response to try to kill the virus,” Forthal says. “Under normal circumstances, the response peaks early, clears the virus and helps produce antibodies and T cells specific for the virus. But in some COVID-19 patients, the cytokine response sticks around too long and too strongly.”

“You not only get severe damage to the lungs, which may or may not be directly attributable to the virus,” says Forthal. “But the cytokine storm also can contribute to coagulopathy [clot formation], kidney damage and heart damage.”

This is what’s causing some people to become severely ill or die, Forthal says. Researchers have seen other coronaviruses provoke similar cytokine overreactions."
is sars and covid the same thing,"Stickier than SARS-1
The virus that causes COVID-19 is similar to SARS — in fact, it’s officially called SARS-CoV-2 — and it attaches to the same receptors as SARS-CoV-1, but it’s stickier, Buchmeier explains. That allows the virus to enter cells more quickly, get a firmer grasp and begin spreading more quickly throughout the body.

This virus also attacks the lower respiratory tract — the bronchial tubes and the lungs — where it can lead to pneumonia.

That triggers an inflammatory response as the body attempts to fight the invader. In some people — about 15% — this immune response starts a cyclical overreaction of the body’s immune system called a cytokine storm.

“Cytokine production is a normal immune response to try to kill the virus,” Forthal says. “Under normal circumstances, the response peaks early, clears the virus and helps produce antibodies and T cells specific for the virus. But in some COVID-19 patients, the cytokine response sticks around too long and too strongly.”

“You not only get severe damage to the lungs, which may or may not be directly attributable to the virus,” says Forthal. “But the cytokine storm also can contribute to coagulopathy [clot formation], kidney damage and heart damage.”

This is what’s causing some people to become severely ill or die, Forthal says. Researchers have seen other coronaviruses provoke similar cytokine overreactions."
what is the relation between sars cov and covid,"Stickier than SARS-1
The virus that causes COVID-19 is similar to SARS — in fact, it’s officially called SARS-CoV-2 — and it attaches to the same receptors as SARS-CoV-1, but it’s stickier, Buchmeier explains. That allows the virus to enter cells more quickly, get a firmer grasp and begin spreading more quickly throughout the body.

This virus also attacks the lower respiratory tract — the bronchial tubes and the lungs — where it can lead to pneumonia.

That triggers an inflammatory response as the body attempts to fight the invader. In some people — about 15% — this immune response starts a cyclical overreaction of the body’s immune system called a cytokine storm.

“Cytokine production is a normal immune response to try to kill the virus,” Forthal says. “Under normal circumstances, the response peaks early, clears the virus and helps produce antibodies and T cells specific for the virus. But in some COVID-19 patients, the cytokine response sticks around too long and too strongly.”

“You not only get severe damage to the lungs, which may or may not be directly attributable to the virus,” says Forthal. “But the cytokine storm also can contribute to coagulopathy [clot formation], kidney damage and heart damage.”

This is what’s causing some people to become severely ill or die, Forthal says. Researchers have seen other coronaviruses provoke similar cytokine overreactions."
whats the difference between covid and sars cov 2,"Stickier than SARS-1
The virus that causes COVID-19 is similar to SARS — in fact, it’s officially called SARS-CoV-2 — and it attaches to the same receptors as SARS-CoV-1, but it’s stickier, Buchmeier explains. That allows the virus to enter cells more quickly, get a firmer grasp and begin spreading more quickly throughout the body.

This virus also attacks the lower respiratory tract — the bronchial tubes and the lungs — where it can lead to pneumonia.

That triggers an inflammatory response as the body attempts to fight the invader. In some people — about 15% — this immune response starts a cyclical overreaction of the body’s immune system called a cytokine storm.

“Cytokine production is a normal immune response to try to kill the virus,” Forthal says. “Under normal circumstances, the response peaks early, clears the virus and helps produce antibodies and T cells specific for the virus. But in some COVID-19 patients, the cytokine response sticks around too long and too strongly.”

“You not only get severe damage to the lungs, which may or may not be directly attributable to the virus,” says Forthal. “But the cytokine storm also can contribute to coagulopathy [clot formation], kidney damage and heart damage.”

This is what’s causing some people to become severely ill or die, Forthal says. Researchers have seen other coronaviruses provoke similar cytokine overreactions."
which covid is sars,"Stickier than SARS-1
The virus that causes COVID-19 is similar to SARS — in fact, it’s officially called SARS-CoV-2 — and it attaches to the same receptors as SARS-CoV-1, but it’s stickier, Buchmeier explains. That allows the virus to enter cells more quickly, get a firmer grasp and begin spreading more quickly throughout the body.

This virus also attacks the lower respiratory tract — the bronchial tubes and the lungs — where it can lead to pneumonia.

That triggers an inflammatory response as the body attempts to fight the invader. In some people — about 15% — this immune response starts a cyclical overreaction of the body’s immune system called a cytokine storm.

“Cytokine production is a normal immune response to try to kill the virus,” Forthal says. “Under normal circumstances, the response peaks early, clears the virus and helps produce antibodies and T cells specific for the virus. But in some COVID-19 patients, the cytokine response sticks around too long and too strongly.”

“You not only get severe damage to the lungs, which may or may not be directly attributable to the virus,” says Forthal. “But the cytokine storm also can contribute to coagulopathy [clot formation], kidney damage and heart damage.”

This is what’s causing some people to become severely ill or die, Forthal says. Researchers have seen other coronaviruses provoke similar cytokine overreactions."
how does covid compare to other viruses,"Stickier than SARS-1
The virus that causes COVID-19 is similar to SARS — in fact, it’s officially called SARS-CoV-2 — and it attaches to the same receptors as SARS-CoV-1, but it’s stickier, Buchmeier explains. That allows the virus to enter cells more quickly, get a firmer grasp and begin spreading more quickly throughout the body.

This virus also attacks the lower respiratory tract — the bronchial tubes and the lungs — where it can lead to pneumonia.

That triggers an inflammatory response as the body attempts to fight the invader. In some people — about 15% — this immune response starts a cyclical overreaction of the body’s immune system called a cytokine storm.

“Cytokine production is a normal immune response to try to kill the virus,” Forthal says. “Under normal circumstances, the response peaks early, clears the virus and helps produce antibodies and T cells specific for the virus. But in some COVID-19 patients, the cytokine response sticks around too long and too strongly.”

“You not only get severe damage to the lungs, which may or may not be directly attributable to the virus,” says Forthal. “But the cytokine storm also can contribute to coagulopathy [clot formation], kidney damage and heart damage.”

This is what’s causing some people to become severely ill or die, Forthal says. Researchers have seen other coronaviruses provoke similar cytokine overreactions."
is covid the black death of the 21st century,"Stickier than SARS-1
The virus that causes COVID-19 is similar to SARS — in fact, it’s officially called SARS-CoV-2 — and it attaches to the same receptors as SARS-CoV-1, but it’s stickier, Buchmeier explains. That allows the virus to enter cells more quickly, get a firmer grasp and begin spreading more quickly throughout the body.

This virus also attacks the lower respiratory tract — the bronchial tubes and the lungs — where it can lead to pneumonia.

That triggers an inflammatory response as the body attempts to fight the invader. In some people — about 15% — this immune response starts a cyclical overreaction of the body’s immune system called a cytokine storm.

“Cytokine production is a normal immune response to try to kill the virus,” Forthal says. “Under normal circumstances, the response peaks early, clears the virus and helps produce antibodies and T cells specific for the virus. But in some COVID-19 patients, the cytokine response sticks around too long and too strongly.”

“You not only get severe damage to the lungs, which may or may not be directly attributable to the virus,” says Forthal. “But the cytokine storm also can contribute to coagulopathy [clot formation], kidney damage and heart damage.”

This is what’s causing some people to become severely ill or die, Forthal says. Researchers have seen other coronaviruses provoke similar cytokine overreactions."
is the covid pandemic comparable to the black death pandemic,"Stickier than SARS-1
The virus that causes COVID-19 is similar to SARS — in fact, it’s officially called SARS-CoV-2 — and it attaches to the same receptors as SARS-CoV-1, but it’s stickier, Buchmeier explains. That allows the virus to enter cells more quickly, get a firmer grasp and begin spreading more quickly throughout the body.

This virus also attacks the lower respiratory tract — the bronchial tubes and the lungs — where it can lead to pneumonia.

That triggers an inflammatory response as the body attempts to fight the invader. In some people — about 15% — this immune response starts a cyclical overreaction of the body’s immune system called a cytokine storm.

“Cytokine production is a normal immune response to try to kill the virus,” Forthal says. “Under normal circumstances, the response peaks early, clears the virus and helps produce antibodies and T cells specific for the virus. But in some COVID-19 patients, the cytokine response sticks around too long and too strongly.”

“You not only get severe damage to the lungs, which may or may not be directly attributable to the virus,” says Forthal. “But the cytokine storm also can contribute to coagulopathy [clot formation], kidney damage and heart damage.”

This is what’s causing some people to become severely ill or die, Forthal says. Researchers have seen other coronaviruses provoke similar cytokine overreactions."
